 ,2005-06 ($m),2006-07 ($m),2007-08 ($m),2008-09 ($m),2009-10 ($m),2010-11 ($m),2011-12 ($m),2012-13 ($m),2013-14 ($m),2014-15 ($m),2015-16 ($m),2016-17 ($m),2017-18 ($m),2018-19 ($m),2019-20 ($m),2020-21 ($m),2021-22 ($m),2022-23 ($m),2023-24 ($m),2024-25 ($m),2025-26 (est) ($m),2026-27 (est) ($m),2027-28 (est) ($m),2028-29 (est) ($m),2029-30 (est) ($m)
Gross income tax withholding,103120,107119,113982,115899,118532,129654,142770,149807,156211,166352,173436,179355,192229,204764,214426,220457,239669,269264,294949,295827,315300,331100,348600,367000,391100
Gross other individuals and trusts,24895,25797,29525,30030,25928,27795,31141,33294,34787,38541,41746,42871,43866,48423,43713,48769,57432,69407,74199,81707,89300,94100,97200,102300,114300
less: Refunds,15244,17145,19601,23569,24390,24711,25537,26801,27407,27033,28081,28364,29102,29514,36219,36265,38048,42014,37635,39223,40400,42800,46800,49700,55100
Total individuals and other withholding,112770,115770,123906,122361,120070,132739,148373,156300,163592,177860,187101,193863,206993,223673,221920,232961,259052,296658,331513,338312,364200,382400,399000,419600,450300
Fringe benefits tax,4049,3761,3856,3399,3504,3303,3731,3922,4077,4347,4368,4046,3911,3794,3850,3569,3331,4009,4632,4927,5310,5580,5820,6140,6590
Company tax,48960,57100,61700,60391,52209,56262,66584,66911,67273,66174,62897,68390,84591,93660,84781,98786,123308,151068,141177,138762,148500,154000,151700,148700,151600
Superannuation fund taxes,6368,8211,12054,9217,6099,6519,7562,7661,6101,5873,6834,8218,10804,11269,6267,12956,26546,10406,12465,25700,33060,31560,31210,32310,34560
Resource rent taxes,1917,1510,1686,2184,1251,806,1463,1817,1511,1870,741,981,1116,1053,1052,786,1638,2287,1144,1420,1400,1900,1750,1550,1250
Income taxation receipts,174063,186353,203202,197552,183132,199628,227714,236610,242553,256125,261941,275498,307415,333449,317870,349058,413876,464427,490931,509121,552470,575440,589480,608300,644300
Goods and services tax,37342,39614,42424,41335,43967,46083,45861,48596,51394,54542,57457,60023,63235,65204,60263,72932,73498,81518,85031,90322,96341,103249,107868,114263,120191
Wine equalisation tax,656,650,665,693,733,722,708,725,766,792,854,842,894,982,959,1119,1100,1107,1091,1134,1110,1160,1200,1240,1290
Luxury car tax,322,364,452,393,472,483,435,434,464,520,602,664,695,675,570,914,960,1143,1253,1088,1150,1130,1070,1120,1160
Other sales taxes,-16,-6,0,-1,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0
Total sales taxes,38304,40621,43541,42420,45173,47288,47004,49756,52624,55854,58913,61529,64820,66861,61793,74965,75558,83768,87375,92544,98601,105539,110138,116623,122641
Fuel excise,13992,14663,15252,15637,15675,16267,16978,17589,18126,17570,17853,18361,19179,19672,19590,20217,18208,21314,24889,26161,22940,27800,29020,30120,31170
Other excise,7822,8086,8474,8736,8764,9490,8567,7823,7949,6093,3639,3439,3524,3628,3762,4245,4331,4708,4872,5134,5240,5470,5670,5900,6130
Total excise duty,21814,22749,23727,24373,24439,25756,25545,25412,26075,23663,21492,21800,22703,23300,23352,24462,22539,26022,29761,31294,28180,33270,34690,36020,37300
Customs duty,4488,5063,5561,5814,5341,5429,6996,8143,9246,10905,13932,14037,15654,15926,19795,18120,16588,17006,13753,11894,6750,7320,6340,5350,5000
Carbon pricing mechanism,0,0,0,0,0,0,0,3631,4363,1627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Major bank levy,0,0,0,0,0,0,0,0,0,0,0,0,1139,1560,1612,1619,1454,1525,1623,1768,1920,2020,2100,2190,2300
Agricultural levies,610,608,611,620,395,445,421,463,495,515,517,547,555,556,469,525,626,666,637,664,673,671,710,737,727
Other taxes,2707,2859,2675,2895,3688,3559,3589,3821,4928,5238,5650,5926,5833,7001,6964,5192,5946,7886,9321,10558,10935,12841,13504,13678,13972
Total other indirect taxation receipts,3318,3467,3286,3515,4083,4005,4010,4284,5423,5753,6167,6473,7527,9118,9044,7336,8026,10076,11581,12990,13528,15532,16313,16605,16999
Indirect taxation receipts,67923,71899,76115,76122,79036,82478,83555,91225,97731,97802,100504,103839,110704,115205,113984,124883,122710,136873,142469,148723,147059,161661,167481,174598,181940
Taxation receipts,241987,258252,279317,273674,262167,282106,311269,327835,340283,353927,362445,379336,418118,448654,431854,473941,536586,601300,633400,657844,699529,737101,756961,782898,826240
Interest,2325,3731,4769,5166,4025,4943,4267,3561,3128,3056,2936,2925,3433,3803,3244,2812,2446,7009,10509,10545,9329,9636,9696,10056,10538
Dividends and other,11631,10654,10831,13760,18470,14975,14339,19657,16910,21318,21543,27607,25354,32829,34301,43162,45326,41168,44676,48562,50913,51361,56209,55429,58016
Non-taxation receipts,13956,14385,15600,18926,22495,19918,18606,23218,20038,24374,24480,30532,28787,36631,37544,45974,47772,48177,55185,59107,60243,60997,65906,65485,68554
Total receipts,255943,272637,294917,292600,284662,302024,329874,351053,360322,378301,386924,409868,446905,485286,469398,519915,584358,649477,688585,716951,759772,798098,822867,848383,894794
