animal_id,brucellosis_id,trich_id,tsu_barcode,pedigree_id,tattoo,herd_dogg_id,uhf_id,breedr_id,alternative_id
8f32d77c-b2e8-4b8a-9bcc-9fc078370e3f,,,,,,,,B-230Z-GB037K-V33Q12,
3a9fbcaf-2ad7-495c-9a65-8e2485c6d76f,,,,,,,,B-230H-GB037K-CZ5KFX,
ef16d4b4-7d59-4678-b45c-05e8eb6e0f72,,,,,,,,B-230B-GB037K-Z11T0C,
59a33b26-bd16-4e40-b289-7a163a96ff69,,,,,,,,B-2301-GB037K-B0RB97,
7657550f-b2af-46c9-a2d2-e500b8137e6e,,,,,,,,B-230Z-GB037K-98MGY9,
12356013-1e9f-452e-9cd8-944d0d18661b,,,,,,,,B-230H-GB037K-3ZS9LN,
91da0873-3472-45a1-b50d-ce73f41b76fc,,,,,,,,B-2305-GB037K-193KPD,
fc4288b4-5b7a-41b6-bede-bec057f584f7,,,,,,,,B-230V-GB037K-B6T0PQ,
40d89596-3482-4f4a-ab3c-a29d541cbf03,,,,,,,,B-2306-GB037K-PG5JQK,
cf715f17-5105-48e1-a01a-a6bf60377258,,,,,,,,B-2309-GB037K-PJC8TK,
0b44fb0a-839a-4381-91b8-f12e6d529818,,,,,,,,B-230J-GB037K-K4NWHQ,
576abf73-7ebd-4b36-82cd-13dcc5ae96a2,,,,,,,,B-230D-GB037K-YVT2VS,
9a5d8d16-4004-4585-b500-3484bf8d8cd2,,,,,,,,B-230J-GB037K-SXF5SC,
9fbc75c7-95a5-4223-af2b-fe49dbdebecc,,,,,,,,B-230H-GB037K-18N4CY,
916570a8-fbaf-4e9b-a844-d09b852f14be,,,,,,,,B-2300-GB037K-1HF9M1,
f017d746-ba14-4e49-b447-a3386c36c339,,,,,,,,B-2304-GB037K-8KCBWN,
6b25474f-866e-4efa-bbe9-ae9f50c78b4a,,,,,,,,B-2304-GB037K-FL74ZP,
3e3814ed-dd36-4f8f-a95b-c83696470c1e,,,,,,,,B-230F-GB037K-YQBMG8,
a32d7dbf-2ec8-433c-a5a4-0a980bba9c7a,,,,,,,,B-2307-GB037K-L64YGT,
6a62d269-44c5-4e3b-8801-a72bf4d86872,,,,,,,,B-230Y-GB037K-MF0R01,
65f487a5-84e6-477b-a155-72076465193a,,,,,,,,B-230D-GB037K-B63F9Y,
cfe0f2c9-857b-400b-89b1-975b4a17a45d,,,,,,,,B-2301-GB037K-91QDH0,
adffde2c-6d40-443f-9e37-97a99f214c57,,,,,,,,B-2300-GB037K-5ZXF76,
a407a7ff-212f-4c87-bd88-c16d041dd8b0,,,,,,,,B-230Q-GB037K-5HNK7J,
9e7e0ecf-f0af-4557-9f88-53ea88c7b0ee,,,,,,,,B-2307-GB037K-N1JJRN,
1ea18cd5-9904-4ad1-86db-26b0c4aa9a96,,,,,,,,B-2300-GB037K-6ZPVKN,
4bf63f47-bd63-4c0c-a826-0028fa35bed7,,,,,,,,B-230T-GB037K-XT32GC,
b299fe63-d3b1-4679-9697-3f264bd6a42f,,,,,,,,B-2300-GB037K-Q8KCMD,
4c28394a-6075-48a2-931f-ecb1cff20437,,,,,,,,B-230S-GB037K-DHTY8S,
5f093683-cd91-483a-9d7c-0a85462dcb21,,,,,,,,B-2306-GB037K-51F6YB,
dfe4916e-fbf0-4218-9227-3c1b173154e7,,,,,,,,B-230Q-GB037K-47MGLL,
a10fd2a0-c2de-43e9-b168-f9f1dd50e9a3,,,,,,,,B-230V-GB037K-VF9Y70,
3d789e18-25f3-4592-8c44-f9af9e5f68f4,,,,,,,,B-230K-GB037K-N1ZMTC,
a694373f-b174-4894-9cd6-698944cef4b3,,,,,,,,B-230Y-GB037K-7SFBT8,
0500fabf-73a3-4fc4-8295-f5c85fe7e6f3,,,,,,,,B-230J-GB037K-JW37L3,
c380c6c8-3755-4c8a-a0d6-556dc8fd218f,,,,,,,,B-2304-GB037K-5C6VC3,
0b46de5f-9533-4f64-ac47-6127ac890b59,,,,,,,,B-2305-GB037K-KMCJ2Y,
024da722-c25d-4e61-8743-02e2d42cfa2d,,,,,,,,B-230W-GB037K-BP6R6M,
7f423ba4-3f38-40c6-af18-4a6fc2258ec2,,,,,,,,B-2307-GB037K-LP12VX,
f28c4440-3b18-4b5e-aa84-6d1c706b75bb,,,,,,,,B-230Y-GB037K-FT39WB,
