id,name,code,sub_code,region_id,iso_number,visual_id_prefix,iso_alpha2,iso_alpha3
1,Wales,GB,WAL,GB,826,UK,GB,GBR
2,Scotland,GB,SCO,GB,826,UK,GB,GBR
5,Jersey,GB,,GB,832,,JE,JEY
6,Isle of Man,GB,,GB,833,,IM,IMN
7,Guernsey,GB,,GB,831,,GG,GGY
3,New Zealand,AU,NZL,NZ,184,,NZ,NZL
10,Ireland,GB,ENG,GB,372,,IE,IRL
4,Northern Ireland,GB,NIR,NI,826,UK,GB,GBR
9,Australia,GB,AUS,AU,36,,AU,AUS
11,United Kingdom,GB,ENG,GB,826,UK,GB,GBR
12,United States,US,,US,840,,US,USA
13,Norway,NO,NO,EU,578,,NO,NOR
14,Italy,IT,IT,EU,380,,IT,ITA
16,Israel,IL,IL,ASIA,376,,IL,ISR
8,England,GB,ENG,GB,826,UK,GB,GBR
17,Canada,CA,CA,US,124,,CA,CAN
15,France,FR,FR,EU,3166,,FR,FRA
18,Romania,RO,RO,EU,642,RO,RO,ROU
19,Spain,ES,ES,EU,724,ES,ES,ESP
20,Greece,GR,GR,EU,304,GR,GR,GRC
