id,lot_number,kill_number,centre_name,centre_number,kill_date,side_1_weight,side_2_weight,carcass_cold_weight,condemned_weight,price,condition,buyer,conformation,european_category,animal_id,hot_weight,fat_class,grading,note,value,killsheet_upload_id
33374,3,7 - 000225  SAA,,,2023-03-09,,,283.6,5.8,,,CENTRE NAME A,O+,,769df82a-1233-4165-9f29-f4673d49c1e6,,4L,O+4L,,,
33389,3,7 - 000246  SAA,,,2023-03-09,,,282.0,5.8,,,CENTRE NAME A,R,,9b006116-8236-457d-871d-e3f3c3130322,,3,R3,,,
33407,3,7 - 000259  HAA,,,2023-03-09,,,260.1,5.3,,,CENTRE NAME A,R,,7d499dfe-a781-423e-b384-770d65785fe4,,4L,R4L,,,
33399,3,7 - 000250  H,,,2023-03-09,,,280.7,5.7,,,CENTRE NAME C,4L,,f017d746-ba14-4e49-b447-a3386c36c339,,O+,O+4L,,,
33410,3,7 - 000260  SAA,,,2023-03-09,,,298.7,6.1,,,CENTRE NAME C,4L,,1214fada-f7ac-49f6-9fee-05ef8a6656d6,,O+,O+4L,,,
33447,3,7 - 000290  SAA,,,2023-03-09,,,313.8,6.4,,,CENTRE NAME A,R,,75b8502a-448c-4253-8ac7-12128953c367,,4L,R4L,,,
33465,2,7 - 000315  S,,,2023-03-16,,,288.7,5.9,,,CENTRE NAME C,4L,,468d9197-2e40-46dd-854d-47353c0a66af,,O+,O+4L,,,
33732,2,7 - 002064,,,2023-03-16,,,279.1,,,,CENTRE NAME C,O+,,10505166-001b-47f2-b1e8-cbd9f1405ff1,,4L,O+4L,,,
33756,2,7 - 002109,,,2023-03-16,,,264.4,,,,CENTRE NAME C,O+,,5b692764-0f74-40af-8f63-279d4d99a4f7,,4L,O+4L,,,
33761,2,7 - 002117,,,2023-03-16,,,274.4,,,,CENTRE NAME C,O+,,3dde5fe3-7132-49f8-8373-deae64b515a6,,4L,O+4L,,,
44104,9.0,7 - 009590,,,2024-04-02,,,244.4,,,,CENTRE NAME B,-O,,a080d453-0391-4fc0-a77a-0c6e2ccad31c,,O3,-O3,,,
44114,9.0,7 - 009599,,,2024-04-02,,,239.5,,,,CENTRE NAME B,-O,,e372da76-027c-47f6-a629-7bd21120a292,,O3,-O3,,,
44121,9.0,7 - 009606,,,2024-04-02,,,259.0,,,,CENTRE NAME B,-O,,70924c60-c63e-4e77-a26a-78d3724cf761,,4L,-O4L,,,
44128,9.0,7 - 009613,,,2024-04-02,,,212.3,,,,CENTRE NAME B,-O,,e90a213d-9214-47b8-97c5-b8f6516ee30d,,O3,-O3,,,
44142,43,7 - 006584,,,2024-02-13,,,243.0,,,,CENTRE NAME A,O+,,cd754558-e60b-4a7a-9aa5-4b729fb8add9,,4L,O+4L,,,
44144,43,7 - 006588,,,2024-02-13,,,259.3,,,,CENTRE NAME A,O+,,d5328262-ba23-45e6-8fb1-b7ef77d100a1,,5L,O+5L,,,
44146,43,7 - 006597,,,2024-02-13,,,249.5,,,,CENTRE NAME A,-O,,ecb4d09b-7f83-4b96-9596-74e087374223,,4L,-O4L,,,
44147,43,7 - 006599,,,2024-02-13,,,247.6,,,,CENTRE NAME A,-O,,22a008b4-b9bd-45de-a1e6-3c3f9d0d67a1,,4L,-O4L,,,
44155,25,7 - 005459,,,2024-04-23,,,272.6,,,,CENTRE NAME A,-O,,d4275e18-239e-4fda-a44b-647e248a73e2,,O3,-O3,,,
44157,25,7 - 005465,,,2024-04-23,,,259.9,,,,CENTRE NAME A,-O,,4deda364-678c-48ea-829a-a5c262f8083a,,O3,-O3,,,
44165,25,7 - 005479,,,2024-04-23,,,259.5,,,,CENTRE NAME A,-O,,6ec13b00-476e-4ff1-8735-3ab79b4fb9a5,,O3,-O3,,,
44178,25,7 - 005500,,,2024-04-23,,,269.5,,,,CENTRE NAME A,-O,,dd5a21f8-7431-4713-ae6b-7b8bf03d74e0,,O3,-O3,,,
33363,3,7 - 000209  S,,,2023-03-09,,,280.4,5.8,,,CENTRE NAME A,O+,,fc4288b4-5b7a-41b6-bede-bec057f584f7,,4L,O+4L,,,
33396,3,7 - 000249  SAA,,,2023-03-09,,,289.1,5.9,,,CENTRE NAME A,O+,,f7100a7e-adb5-4969-b1d3-c0a7dfd6e2b0,,4L,O+4L,,,
33419,3,7 - 000273  S,,,2023-03-09,,,277.4,5.6,,,CENTRE NAME C,4L,,d87278e0-1e2b-4a28-8d73-9af8b7303792,,O+,O+4L,,,
33711,2,7 - 002022,,,2023-03-16,,,279.5,,,,CENTRE NAME C,O+,,7f2ed266-5e35-4217-b200-c4c24f9a5b81,,4L,O+4L,,,
33747,2,7 - 002091,,,2023-03-16,,,273.4,,,,CENTRE NAME C,O+,,c15bb521-f9e0-441f-aa0a-477371816bd4,,4H,O+4H,,,
33774,2,7 - 002127,,,2023-03-16,,,256.2,,,,CENTRE NAME C,O+,,e23b1341-3436-4815-a65e-69f3eb8c1046,,4L,O+4L,,,
