id,stockitem_id,animaltype_id
13,7b97a614-0731-4e69-bfbf-8c5cbbedee90,2
21,419d39fa-e8d2-4d80-bb68-cab0845a59b6,1
30,621ef25d-f057-4a90-9094-c398799bf02d,3
41,994a73f1-d5ce-421a-9602-90c0132ca07b,2
45,9656cc4d-6339-4202-8f8c-9e4b3a61231f,1
80,cd3909f1-9174-45ce-8432-cfa424615647,3
88,a97afe76-de16-4188-a5ab-806d9f5a737b,1
100,1f1d842a-e90b-4d16-a89f-25e058f5f027,1
103,76bd5ec9-36d3-421b-9ad2-8bccc338b97d,3
106,366f398a-78a3-4eef-8a41-ebadda0dbdbc,3
109,5a3ea66a-f686-4dba-978e-82a00a0dbf58,1
110,5a3ea66a-f686-4dba-978e-82a00a0dbf58,2
111,5a3ea66a-f686-4dba-978e-82a00a0dbf58,3
122,274644d0-6784-46d7-b75a-0e1c681a0882,2
125,91d8af5e-51e2-4116-beb6-9d9bcee61976,2
143,ca6081b8-4ab3-4c49-9973-c70540db173e,3
144,7743f91a-9efe-4a7a-b0ec-6a9cef913769,3
152,f317d4aa-eeb4-4858-8c43-3cb431ee08b9,2
170,b51bfa29-27be-4ba4-892b-51e6ff8fa6e7,3
185,059da94e-3ebe-46cc-a74e-8773d720a20e,3
194,5649f44b-5a74-4d25-a938-e345cb85fc5e,3
206,294b8494-586a-4057-8ab0-7d6858664ce3,3
209,e3338eff-1a23-4176-acf4-64569c892c65,3
221,f7fdb517-6405-432e-8bac-9cd3e7873b64,2
228,85535b86-ecc6-45c1-80fa-0708eae5a86c,1
230,13956ab2-b332-4b55-8972-48f07d7a97ce,3
233,53d1094f-d6af-4bf5-9961-06ea512fbfdd,3
238,f449b750-10c5-45ad-a926-e201c0166a99,3
240,a553cd6b-5436-4811-80fb-1bbaf3b88112,2
242,3863d3b3-616b-4275-80af-40d85a348f46,2
249,3202ae42-8915-435e-971c-ea39b7b2da55,1
256,8b79bc40-4f04-43ec-9aa8-f2f033078fb1,1
264,823db0c9-ba71-412e-8879-242cd4c5a5f7,1
268,ba2a0ba3-a47a-43cf-ad31-cfc2f7de8e16,1
272,09c8bd1e-e74b-47a8-bec7-2acf63fb92ae,3
282,efd915fa-ea36-4c4a-a4f8-7668065762ee,3
291,981d447d-cd48-447c-be92-2705c8ac06da,3
294,af97d795-5435-4604-b504-9d0aa7d94ad4,1
2417,ea281a54-9efc-4353-90cb-ac57b5e7d7c0,3
303,7e5e3ac2-f0de-4869-9a02-34cb80a10452,2
307,e22b7d5f-683e-42c5-a1e8-76f850f5e605,3
