id,product_name,vm_number,active_substances,target_species,distribution_category,pharmaceutical_form,therapeutic_group,antibiotic_active_ingredient_unit,antibiotic_active_ingredient_mg_unit,antibiotic_class,antibiotic_route_of_administration,hp_cia
267,Countdown 1:4 2.72% w/v Concentrate for Teat Dip and Teat Spray Solution,03940/4063,Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
853,"Aftovaxpur DOE Emulsion for Injection for Cattle, Sheep and Pigs",04491/5002,Foot-and-mouth disease virus,,POM-V,Emulsion for injection,Inactivated Viral Vaccine,,,,,
1005,"Kelaprofen 100 mg/ml Solution for Injection for Cattle, Horses and Pigs",06126/5000,Ketoprofen,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
925,"Eprinex Multi 5 mg/ml Pour-on Solution for Cattle, Sheep and Goats",08327/4282,Eprinomectin,,POM-V,Pour-on solution,Endectocide,,,,,
1007,Coxevac Suspension for Injection for Cattle and Goats,15052/5000,Coxiella burnetii,,POM-V,Suspension for injection,Inactivated Bacterial Vaccine,,,,,
96,Masodine 1:3 2.15% w/v Concentrate for Teat Dip and Spray Solution,03940/4006,Available Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
86,Masodip 0.436% w/v Ready to Use Teat Dip and Teat Spray Solution,03940/4008,Chlorhexidine Gluconate,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
71,Masocare 0.535% w/v Ready to Use Teat Dip and Teat Spray Solution,03940/4010,Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
926,Aftopur DOE,08327/5001,Foot-and-mouth disease virus,,POM-V,Emulsion for injection,Inactivated Viral Vaccine,,,,,
84,Tylan Soluble Powder for Oral Solution,00879/4175,Tylosin Tartrate,,POM-V,Powder for oral solution,Antimicrobial,,1,Macrolides,Oral Solution,
876,NASYM Lyophilisate and Solvent for Suspension for Injection or Nasal Spray for Cattle,17533/5008,Bovine respiratory syncytial virus,,POM-V,Lyophilisate and solvent for suspension for injection,Live Viral Vaccine,,,,,
365,Domidine 10 mg/ml Solution for Injection for Horses and Cattle,16849/4008,Detomidine Hydrochloride,,POM-V,Solution for injection,Neurological Agent sedative,,,,,
1009,Synulox Lactating Cow Intramammary Suspension,42058/3006,"Amoxicillin, Clavulanic Acid, Prednisolone",,POM-V,Intramammary suspension,Antimicrobial intramammary; Anti Inflammatory,items,200,Penicillins,Intramammary,
1081,Ketamidor 100 mg/ml Solution for Injection , 57446/4002,Ketamine,,POM-V,Solution for injection,Neurological Agent general anaesthetic,,,,,
1026,Clik 5% Pour-on Suspension,00879/5011,Dicyclanil,,POM-VPS,Pour-on suspension,Ectoparasiticide,,,,,
911,Dicyclanil Elanco 5% Pour-on Suspension,00879/3000,Dicyclanil,,POM-VPS,Pour-on suspension,Ectoparasiticide,,,,,
1029,Bovilis Bovipast RSP,01708/3003,"Bovine parainfluenza virus 3, Bovine respiratory syncytial virus, Mannheimia haemolytica",,POM-V,Suspension for injection,Inactivated Viral and Bacterial Vaccine,,,,,
912,Flyclanil 5% Pour-on Suspension for Sheep,00879/3001,Dicyclanil,,POM-VPS,Pour-on suspension,Ectoparasiticide,,,,,
913,Dicyclafly 5% Pour-on Suspension for Sheep,00879/3002,Dicyclanil,,POM-VPS,Pour-on suspension,Ectoparasiticide,,,,,
1023,Clik 5% Pour-on Suspension,00879/3008,Dicyclanil,,POM-VPS,Pour-on suspension,Ectoparasiticide,,,,,
257,Clik 5% Pour-on Suspension,00879/4070,Dicyclanil,,POM-VPS,Pour-on suspension,Ectoparasiticide,,,,,
1024,CLiKZiN 12.5 mg/ml Pour-On Suspension for Sheep,00879/3009,Dicyclanil,,POM-VPS,Pour-on suspension,Ectoparasiticide,,,,,
1091,"Butox Swish, Pour-on Suspension 7.5 mg/ml",01708/4495,Deltamethrin,,POM-VPS,Pour-on suspension,Ectoparasiticide,,,,,
452,CLiKZiN 12.5 mg/ml Pour-On Suspension for Sheep,00879/4071,Dicyclanil,,POM-VPS,Pour-on suspension,Ectoparasiticide,,,,,
1002,"Flunixin 50 mg/ml Solution for Injection for Cattle, Horses and Pigs",02000/4170,Flunixin,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
710,Noroclav Intramammary Suspension for Lactating Cows,02000/4425,"Amoxicillin, Clavulanic Acid, Prednisolone",,POM-V,Intramammary suspension,Antimicrobial intramammary; Anti Inflammatory,items,200,Penicillins,Intramammary lactating cow,
846,"Molecoxan 2.5 mg/ml Oral Suspension ",01708/4647,Diclazuril,,POM-VPS,Oral suspension,Antiprotozoal anticoccidial,,,,,
920,Solantel 200mg/ml Pour-On Solution for Cattle,02000/4442,Closantel Sodium Dihydrate,,POM-VPS,Pour-on solution,Anthelmintic flukicide,,,,,
1008,Closamectin Solution for Injection for Cattle and Sheep,02000/5008,"Closantel, Ivermectin",,POM-VPS,Solution for injection,Endectocide,,,,,
588,"Sodium Chloride 0.9 g/100 ml B. Braun Vet Care Solution for Infusion for Cattle, Horse, Sheep, Goat, Pig, Dog and Cat",03551/4005,Sodium Chloride,,POM-V,Solution for infusion,Replacement Agent,,,,,
194,Countdown HE 0.535% w/v Ready to Use Teat Dip and Teat Spray Solution,03940/4013,Available Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
29,Zanil Fluke Drench 34 mg/ml Oral Suspension,01708/4595,Oxyclozanide,,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
999,"Mastiplan LC, 300 mg/20 mg (Cefapirin/Prednisolone), Intramammary Suspension for Lactating Cows ",01708/5077,"Cefapirin, Prednisolone",,POM-V,Intramammary suspension,Antimicrobial intramammary; Anti Inflammatory,,,,,
103,Levafas Diamond Oral Suspension,02000/4080,"Levamisole Hydrochloride, Oxyclozanide",,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
282,Visqodip 0.535% w/v Ready to Use Teat Dip Solution,03940/4066,Available Iodine,,AVM-GSL,Teat dip solution,Antiseptic,,,,,
825,Vecoxan 2.5 mg/ml Oral Suspension,01708/4648,Diclazuril,,POM-VPS,Oral suspension,Antiprotozoal anticoccidial,,,,,
847,Bravoxin Suspension for Injection for Cattle and Sheep ,01708/4649,"Clostridium chauvoei, Clostridium haemolyticum, Clostridium novyi, Clostridium perfringens, Clostridium septicum, Clostridium sordellii, Clostridium tetani",,POM-VPS,Suspension for injection,Inactivated Bacterial Vaccine,,,,,
852,"Loxicom 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",02000/5005,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
232,Masodip Extra 0.436% w/v Ready to Use Teat Dip and Teat Spray Solution,03940/4055,Chlorhexidine Gluconate,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
1025,CLiK Extra 65 mg/ml Pour-On Suspension for Sheep,00879/3010,Dicyclanil,,POM-VPS,Pour-on suspension,Ectoparasiticide,,,,,
918,Cepralock 2.6 g Intramammary Suspension for Dry Cows,01708/4640,Bismuth Subnitrate,,POM-V,Intramammary suspension,Miscellaneous mechanical teat seal ,,,,,
135,Alcide Uddergold Platinum Concentrates (Base and Activator) for Teat Dip Solution for Cattle (Dairy),04509/4014,"Chlorous Acid, Lactic Acid ",,AVM-GSL,Teat dip solution,Antiseptic,,,,,
388,Chloromed 150 mg/g Oral Powder for Calves,05150/4001,Chlortetracycline Hydrochloride,,POM-V,Oral powder,Antimicrobial,g,150,Tetracyclines,Oral Powder,
969,Rilexine DC 375 mg Intramammary Suspension for Dry Cows,05653/3000,Cefalexin,,POM-V,Intramammary suspension,Antimicrobial intramammary,,,,,
408,"Virbamec Super 10 mg/ml, 100 mg/ml Solution for Injection",05653/4155,"Clorsulon, Ivermectin",,POM-VPS,Solution for injection,Endectocide,,,,,
101,Prosolvin 7.5 mg/ml Solution for Injection,05653/4158,Luprostiol,,POM-V,Solution for injection,Prostaglandin,,,,,
339,Cephaguard DC 150 mg Intramammary Ointment,05653/4163,Cefquinome,,POM-V,Intramammary ointment,Antimicrobial intramammary,items,150,3rd 4th cephalosporins,Intramammary dry cow,
558,Deltafort 10 mg/ml Pour-on Solution,05653/4170,Deltamethrin,,POM-VPS,Pour-on solution,Ectoparasiticide,,,,,
736,"Bovilis INtranasal RSP Live, Nasal Spray, Lyophilisate and Solvent for Suspension for Cattle",01708/4612,"Bovine parainfluenza virus 3, Bovine respiratory syncytial virus",,POM-V,"Nasal spray, lyophilisate for suspension",Live Viral Vaccine,,,,,
1014,"Kelaprofen 100 mg/ml Solution for Injection for Cattle, Horses and Pigs",06126/3000,Ketoprofen,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
160,Combinex Cattle Oral Suspension,00879/4083,"Levamisole Hydrochloride, Triclabendazole",,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
246,Pulmotil AC 250 mg/ml Concentrate for Oral Solution for Use in Drinking Water or Milk Replacer,00879/4168,Tilmicosin,,POM-V,Concentrate for oral solution,Antimicrobial,ml,250,Macrolides,Oral Solution,
439,"Baycox 50 mg/ml Oral Suspension for Piglets, Calves and Lambs",00010/4170,Toltrazuril,,POM-V,Oral suspension,Antiprotozoal anticoccidial,,,,,
1082,Closamectin Solution for Injection for Cattle and Sheep,02000/3000,"Closantel, Ivermectin",,POM-VPS,Solution for injection,Endectocide,,,,,
696,Ubroseal Blue Dry Cow 2.6 g Intramammary Suspension for Cattle,05150/4006,Bismuth Subnitrate,,POM-V,Intramammary suspension,Miscellaneous mechanical teat seal ,,,,,
1020,Flovuxin 300/16.5 mg/ml Solution for Injection for Cattle,01656/3033,"Florfenicol, Flunixin",,POM-V,Solution for injection,Antimicrobial; Anti Inflammatory,ml,300,Amphenicols,Injection,
1027,CLiKZiN 12.5 mg/ml Pour-On Suspension for Sheep,00879/5012,Dicyclanil,,POM-VPS,Pour-on suspension,Ectoparasiticide,,,,,
1006,"Xylexx 20 mg/ml Solution for Injection for Cattle, Horses, Dogs and Cats",36408/3007,Xylazine,,POM-V,Solution for injection,Neurological Agent sedative,,,,,
1010,Synulox Lactating Cow Intramammary Suspension,42058/5105,"Amoxicillin, Clavulanic Acid, Prednisolone",,POM-V,Intramammary suspension,Antimicrobial intramammary; Anti Inflammatory,,,,,
849,Bovilis BTV8 Suspension for Injection for Cattle and Sheep,01708/5013,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
1028,CLiK Extra 65 mg/ml Pour-On Suspension for Sheep,00879/5013,Dicyclanil,,POM-VPS,Pour-on suspension,Ectoparasiticide,,,,,
1021,Flovuxin 300/16.5 mg/ml Solution for Injection for Cattle,01656/5033,"Florfenicol, Flunixin",,POM-V,Solution for injection,Antimicrobial; Anti Inflammatory,,,,,
850,Halocur 0.5 mg/ml Oral Solution for Calves,01708/5037,Halofuginone,,POM-V,Oral solution,Antiprotozoal,,,,,
851,Zuprevo 180 mg/ml Solution for Injection for Cattle,01708/5060,Tildipirosin,,POM-V,Solution for injection,Antimicrobial,ml,180,Macrolides,Injection,
16,Clinidip 2.5 % w/v Superconcentrate Concentrate for Teat Dip or Teat Spray Solution,01808/4011,Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
292,Venture 321 Teat Dip and Teat Spray Solution 2.15% w/v,03940/4082,Available Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
299,Masocare Extra 0.535% w/v Ready to Use Teat Dip and Teat Spray Solution,03940/4085,Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
987,Fencovis Suspension for Injection,04491/3000,"Bovine coronavirus, Bovine rotavirus, Escherichia coli",,POM-V,Suspension for injection,Inactivated Viral and Bacterial Vaccine,,,,,
854,Bovela Lyophilisate and Solvent for Suspension for Injection for Cattle,04491/5004,Bovine viral diarrhoea virus,,POM-V,Lyophilisate and solvent for suspension for injection,Live Viral Vaccine,,,,,
855,BTVPUR Suspension for Injection for Sheep and Cattle,04491/5007,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
856,"Metacam 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",04491/5021,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
857,Metacam 40 mg/ml Solution for Injection for Cattle and Horses,04491/5023,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
858,Metacam 5 mg/ml Solution for Injection for Cattle and Pigs,04491/5024,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
840,"Zactran 150 mg/ml Solution for Injection for cattle, sheep and pigs",04491/5061,Gamithromycin,,POM-V,Solution for injection,Antimicrobial,ml,150,Macrolides,Injection,
716,Arentor DC 250mg  Intramammary Suspension for Dry Cows ,05150/4007,Cephalonium,,POM-V,Intramammary suspension,Antimicrobial intramammary,items,250,1st 2nd cephalosporins,Intramammary dry cow,
729,"Trymox LA 150 mg/ml Suspension for Injection for Cattle, Sheep, Pigs, Dogs, Cats",05150/4008,Amoxicillin,,POM-V,Suspension for injection,Antimicrobial,ml,150,Penicillins,Injection,
1012,"Tulissin 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",05653/5019,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
1013,Cyclix 250 microgram/ml Solution for Injection for Cattle,05653/5038,Cloprostenol,,POM-V,Solution for injection,Prostaglandin,,,,,
50,Multiject IMM Intramammary Suspension,02000/4062,"Neomycin Sulphate, Prednisolone, Procaine Benzylpenicillin, Streptomycin Sulphate",,POM-V,Intramammary suspension,Antimicrobial intramammary; Anti Inflammatory,items,260,Multiple actives,Intramammary lactating cow,
275,Calciject 20 CMD Solution for Injection,02000/4189,"Boric Acid, Calcium, Glucose, Magnesium",,POM-VPS,Solution for injection,Mineral,,,,,
287,Venture IO-Care 0.535% w/v Ready to Use Teat Dip and Teat Spray Solution,03940/4067,Available Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
244,Xylapan 20 mg Solution for Injection,08007/4091,Xylazine,,POM-V,Solution for injection,Neurological Agent sedative,,,,,
1004,"Enrotron 50 mg/ml Solution for Injection for Cattle, Sheep, Goats, Pigs, Dogs and Cats",24745/4030,Enrofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,50,Fluoroquinolones,Injection,
881,"Melovem 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",28365/5000,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
1015,"Metaxx 20 mg/ml Solution for Injection for Cattle, Pigs and Horses ",36408/3008,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
451,"Ceftiocyl 50 mg/ml, Suspension for Injection for Cattle and Pigs",08007/4122,Ceftiofur,,POM-V,Suspension for injection,Antimicrobial,ml,50,3rd 4th cephalosporins,Injection,
1031,Resflor 300/16.5 mg/ml Solution for Injection for Cattle,01708/3014,"Florfenicol, Flunixin",,POM-V,Solution for injection,Antimicrobial; Anti Inflammatory,ml,300,Amphenicols,Injection,
1016,"Metaxx 5 mg/ml Solution for Injection for Cattle, Pigs, Dogs and Cats ",36408/3009,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
1033,Bovilis Bovipast RSP,01708/5069,"Bovine parainfluenza virus 3, Bovine respiratory syncytial virus, Mannheimia haemolytica",,POM-V,Suspension for injection,Inactivated Viral and Bacterial Vaccine,,,,,
