id,withdrawal_type,withdrawal_period_days,notes,animal_type_id,medicine_id,use_withdrawal_period
168,MEAT,5,Not for use in sheep producing milk for human consumption,2,f4f33db5-86dc-42a8-b5a4-b5651a843dbd,true
1193,MEAT,13,Rabbits: meat and offal: 6 days. Do not use in birds intended for human consumption.,1,474d8084-ee32-476e-8dcc-f84b34446479,true
22,DAIRY,2,Horses:,3,2559f96c-fd6c-4055-b110-4f454e170dd1,true
23,MEAT,10,Horses:,3,2559f96c-fd6c-4055-b110-4f454e170dd1,true
1258,DAIRY,0,Horses: Meat and Offal: 1 day. Milk: Not authorised for use in lactating animals producing milk for human consumption.,3,4910c05a-63a2-494e-a4b2-8ff5b4098654,true
171,MEAT,9,Withdrawal applies to meat and offal,1,5c8e0bce-6880-4600-88c2-37b51dc0370a,true
174,MEAT,60,Not authorised for use in animals producing milk for human consumption.,2,8e53e3ac-7d5d-4979-a5f8-1427458f851a,true
202,MEAT,0,,1,0957a1ad-f512-42d8-b93c-7be83a4c306b,true
24,MEAT,20,Horses:,1,2559f96c-fd6c-4055-b110-4f454e170dd1,true
1260,MEAT,4,Horses: Meat and Offal: 1 day. Milk: Not authorised for use in lactating animals producing milk for human consumption.,1,4910c05a-63a2-494e-a4b2-8ff5b4098654,true
1131,MEAT,14,,3,9d194ca7-87d1-428d-987c-760388b82390,true
1079,DAIRY,2,Not for use in sheep producing milk for human consumption.,3,dd8cebef-26f1-4d76-bd79-72d1a07a3db6,true
1239,DAIRY,0,,3,d09a3fb6-5626-46da-af04-b30515fa4b13,true
1195,MEAT,4,Not authorised for use in cattle producing milk for human consumption. Sheep milk: 72 hours. Goats meat and offal: 6 days. Goats milk 96 hours.,2,b0a387ee-5066-4b85-a30b-4d6075171c80,true
284,DAIRY,0,,3,9539067c-5aa1-4bd5-a6eb-60116e19dad8,true
1197,DAIRY,5,"Sheep milk: 72 hours, Goats meat: 6 days, Goats milk: 96 hours",3,81942b4b-fe38-427e-bb51-41a5313003d3,true
1122,DAIRY,0,Not permitted for use in lactating animals producing milk for human consumption,3,95f442d6-9e55-4920-adee-056917131095,false
15,DAIRY,8,Sheep Milk: 7 days,3,0018676f-ac25-43bd-943c-8332c1c04950,true
1233,MEAT,63,"Not authorised for use in cattle producing milk for human consumption, including",3,7685acd1-57aa-4cf3-b18c-7f62369d7e81,true
1216,MEAT,13,,3,8151c5e0-bc7d-4b2b-85cb-f9f9354da469,true
1159,MEAT,21,,3,ef5e79cf-cae8-4b42-9754-3054ecfd0c31,true
1157,MEAT,0,,1,0fe32628-dd17-4cfb-b3ef-b55f2591cf57,true
1186,MEAT,0,,3,7db4632f-2d4d-4134-a1c6-11f29ae3d696,true
1213,MEAT,42,Contraindications,2,2660e747-e7ac-4b81-ab91-2d330b68f676,true
1165,MEAT,42,Chicken meat 12 days; Turkey meat 19 days,3,888020de-997a-4310-bd02-44fa8e6d7745,true
1171,MEAT,22,Not authorised for use in lactating animals producing milk for human consumption. ,3,19e49208-747e-4614-8674-75c368e076a0,true
1224,DAIRY,0,48 hours after 2nd prostaglandin treatment. Meat 28 days,3,f1b5dfb7-34db-4465-b645-e07944f9c5ba,true
1230,MEAT,0,,3,82eb81dc-fdd9-49e6-bcc2-19ac3e35ecc3,true
1160,MEAT,22,"Not authorised for use in animals producing milk for human consumption. Do not use in pregnant animals, which are intended to produce milk for human consumption, within 2 months of expected parturition.",3,afb651e3-1ef6-4441-bba6-afd6fcd25e20,true
