id,created_at,updated_at,barcode,common_name,man_name,manufacturer,bottle_sizes,active_ingredient_id,application_method_id,description,link,noah_id,is_disabled,vmd_data_id
5895daca-c330-4689-b497-2702d94013d3,2022-10-23 00:00:32.308678,2023-02-26 00:00:19.150590,,Bravoxin® suspension,No MAN,MSD Animal Health UK Limited,,Vaccine Antigens,,Bravoxin® suspension for injection for cattle and sheep,http://www.noahcompendium.co.uk/?id=-480034&aggregatexml=true&absoluteurls=true,N480034,true,
cf3ec94f-a3b5-41c0-85b8-1463f3ca168d,2020-04-19 00:00:10.305633,2023-02-26 00:00:19.237636,,Buscopan Compositum,Vm 08327/4292,Boehringer Ingelheim Animal Health UK Ltd,,Butylscopolamine,,Buscopan,http://www.noahcompendium.co.uk/?id=-447486&aggregatexml=true&absoluteurls=true,N447486,false,111.0
4910c05a-63a2-494e-a4b2-8ff5b4098654,2023-02-19 00:00:23.416256,2023-02-26 00:00:25.853996,,"Ketodolor 100 mg/ml Solution for Injection for Horses, Cattle, Pigs",No MAN,Dechra Veterinary Products,,Ketoprofen,,"Ketodolor® 100 mg/ml Solution for Injection for Horses, Cattle, Pigs",http://www.noahcompendium.co.uk/?id=-482624&aggregatexml=true&absoluteurls=true,N482624,false,
81942b4b-fe38-427e-bb51-41a5313003d3,2022-03-13 00:00:29.062219,2023-02-26 00:00:17.671434,,Baytril 100 mg/ml solution for injection,No MAN,Elanco UK AH Limited,,Enrofloxacin,,Baytril 100 mg/ml solution for injection,http://www.noahcompendium.co.uk/?id=-479578&aggregatexml=true&absoluteurls=true,N479578,false,
00e4b8df-fb72-415b-aac0-a113c9a1a313,2020-08-30 00:01:19.770452,2020-09-13 00:01:22.110136,,"Altidox 500 mg/g Powder for Use in Drinking Water for Pigs, Chickens and Turkeys",No MAN,Dechra Veterinary Products,,Doxycycline Hyclate,,"Altidox 500 mg/g Powder for Use in Drinking Water for Pigs, Chickens and Turkeys",http://www.noahcompendium.co.uk/?id=-469525&aggregatexml=true&absoluteurls=true,N469525,false,
dc3e85e2-835e-46a4-9494-8c80d3465962,2020-05-14 15:42:13.024704,2021-04-25 00:01:53.447881,,Baytril 2.5% Oral Solution,No MAN,Elanco UK AH Limited,,Enrofloxacin,,Baytril® 2.5% Oral Solution,http://www.noahcompendium.co.uk/?id=-446279&aggregatexml=true&absoluteurls=true,N446279,false,
83f723e3-82e4-4b7e-b3d8-2c1c1711fceb,2022-03-13 00:00:28.875917,2023-02-26 00:00:17.508281,,"Baycox Multi 50 mg/ml oral suspension for Cattle, Pigs and Sheep",No MAN,Elanco UK AH Limited,,Toltrazuril,,"Baycox Multi 50 mg/ml oral suspension for Cattle, Pigs and Sheep",http://www.noahcompendium.co.uk/?id=-479173&aggregatexml=true&absoluteurls=true,N479173,false,
62505843-147d-4874-88cd-166eec22960a,2022-10-30 00:00:47.047057,2023-02-26 00:00:33.617426,,Tribamec Duo Oral Suspension for Sheep,No MAN,Chanelle Pharma,,Triclabendazole,,Tribamec Duo 50 mg/ml & 1 mg/ml Oral Suspension for Sheep,http://www.noahcompendium.co.uk/?id=-481945&aggregatexml=true&absoluteurls=true,N481945,true,
44bfabb5-dafb-451d-9c10-d245242bfff3,2021-04-18 00:02:31.235499,2023-02-26 00:00:19.507596,,Ceporex®,No MAN,MSD Animal Health UK Limited,,Sodium Cefalexin,,"Ceporex® 180 mg/ml Suspension for injection for cattle, cats and dogs",http://www.noahcompendium.co.uk/?id=-479159&aggregatexml=true&absoluteurls=true,N479159,false,
bc0b508d-9ac8-4362-bc64-797075eb2429,2021-04-18 00:02:33.424939,2023-02-26 00:00:20.003690,,Chorulon®,No MAN,MSD Animal Health UK Limited,,Chorionic Gonadotrophin,,Chorulon® 1500 IU Powder and solvent for solution for injection,http://www.noahcompendium.co.uk/?id=-479229&aggregatexml=true&absoluteurls=true,N479229,true,
1d391f20-b907-4c7a-9771-61e7bf59b995,2020-06-29 09:26:10.508505,2020-07-21 09:41:32.534306,,Levamole 75 mg/ml Oral Solution,Levamole 75 mg/ml Oral Solution,Molevalley,,Levamisole Hydrochloride,,Levamole 75 mg/ml Oral Solution,http://www.breedr.co,BR000009,false,
986b1b5f-1d86-4ff6-83b3-42188d85ac5b,2022-04-24 00:00:42.306750,2023-02-26 00:00:31.357665,,Rompun 2% w/v Solution for Injection.,No MAN,Elanco UK AH Limited,,Xylazine Hydrochloride,,Rompun 2% w/v Solution for Injection.,http://www.noahcompendium.co.uk/?id=-479802&aggregatexml=true&absoluteurls=true,N479802,true,
b983236c-9f88-4096-84f0-83f45db1064d,2020-05-14 15:42:44.651158,2023-02-26 00:00:33.375084,,Tilmovet 250 mg/ml Concentrate for Oral Solution,V,Huvepharma NV,,Tilmicosin,,Tilmovet 250 mg/ml Concentrate for Oral Solution,http://www.noahcompendium.co.uk/?id=-453145&aggregatexml=true&absoluteurls=true,N453145,false,
888020de-997a-4310-bd02-44fa8e6d7745,2021-01-31 00:00:32.189177,2021-04-25 00:02:51.684487,,Pulmotil AC 250 mg/ml Concentrate for Oral Solution,No MAN,Elanco UK AH Limited,,Tilmicosin,,Pulmotil AC 250 mg/ml Concentrate for Oral Solution for use in drinking water or milk replacer,http://www.noahcompendium.co.uk/?id=-472825&aggregatexml=true&absoluteurls=true,N472825,false,
8eb443c6-637f-4c6d-93eb-e6eefa70ed51,2020-04-19 00:00:09.942120,2023-02-26 00:00:16.394909,,Alamycin LA 300,Vm 02000/4113,Norbrook Laboratories Ltd,,Oxytetracycline,,Alamycin LA 300 Solution for Injection 300 mg/ml,http://www.noahcompendium.co.uk/?id=-470307&aggregatexml=true&absoluteurls=true,N470307,false,39.0
0bb2e085-d8cd-4652-84f2-53ef8f04679f,2022-04-24 00:00:44.349478,2023-02-26 00:00:33.811657,,Tulaven 100 mg/ml,No MAN,Ceva Animal Health Ltd,,Tulathromycin,,"Tulaven® 100 mg/ml solution for injection for cattle, pigs and sheep",http://www.noahcompendium.co.uk/?id=-478915&aggregatexml=true&absoluteurls=true,N478915,false,
7ee1ed0e-13a0-440d-a6a6-9bc10f7b6b70,2020-05-14 15:42:30.479737,2021-04-25 00:02:29.008331,,Levacur® SC,Vm 01708/4488.,MSD Animal Health,,Levamisole Hydrochloride,Oral,Levacur® SC 3% Oral Solution,http://www.noahcompendium.co.uk/?id=-454927&aggregatexml=true&absoluteurls=true,N454927,false,265.0
8b4542ea-4973-492e-b287-9652cbf24ea9,2020-05-14 15:42:30.297556,2020-06-21 00:02:01.085869,,Lambivac,Vm 01708/4509,MSD Animal Health,,Vaccine Antigens,Subcutaneous,Lambivac,http://www.noahcompendium.co.uk/?id=-454890&aggregatexml=true&absoluteurls=true,N454890,false,79.0
c363b75a-8941-49ca-bd15-388a6109b825,2020-05-14 15:42:24.608608,2023-02-26 00:00:23.929397,,Eprizero,Vm 02000/4339,Norbrook Laboratories Ltd,,Eprinomectin,,Eprizero 5 mg/ml Pour-On Solution for Beef and Dairy Cattle,http://www.noahcompendium.co.uk/?id=-470699&aggregatexml=true&absoluteurls=true,N470699,false,546.0
569b15b4-c16c-402a-a8d7-4ad8ce53ea86,2020-05-14 15:42:18.885775,2023-02-26 00:00:21.724645,,CYDECTIN 10% LA Solution for Injection for Cattle,Vm 42058/4028,Zoetis UK Limited,,Moxidectin,,CYDECTIN® 10% LA Solution for Injection for Cattle,http://www.noahcompendium.co.uk/?id=-456817&aggregatexml=true&absoluteurls=true,N456817,false,353.0
f8784474-29b3-4c3f-a73a-ec93cc247e15,2020-05-14 15:42:40.735673,2023-02-26 00:00:31.090275,,Rispoval IBR-Marker Inactivated,Vm 42058/4127,Zoetis UK Limited,,Vaccine Antigens,,Rispoval® IBR-Marker Inactivated suspension for injection for cattle,http://www.noahcompendium.co.uk/?id=-458210&aggregatexml=true&absoluteurls=true,N458210,false,219.0
fd8d25f4-3a9b-498c-8dcc-60f9ce277de8,2020-05-14 15:42:42.557356,2023-02-26 00:00:32.812010,,Synulox Lactating Cow,No MAN,Zoetis UK Limited,,Amoxicillin Trihydrate,,Synulox® Lactating Cow,http://www.noahcompendium.co.uk/?id=-458458&aggregatexml=true&absoluteurls=true,N458458,false,148.0
e6164ead-4354-42bf-a02a-0143cfd1126e,2020-05-14 15:42:42.827145,2020-09-06 00:04:12.658156,,"Tetroxy Vet 200mg/ml solution for injection for cattle, sheep and pigs",Vm 12597/4065,Bimeda,,Oxytetracycline,,"Tetroxy Vet 200mg/ml solution for injection for cattle, sheep and pigs",http://www.noahcompendium.co.uk/?id=-447356&aggregatexml=true&absoluteurls=true,N447356,true,
af6c7dba-538d-469f-b7da-273ce242c664,2020-04-19 00:00:12.332211,2023-02-26 00:00:30.423612,,"Recocam 20mg/ml Meloxicam Solution for Injection for Use in Cattle, Pigs & Horses",Vm 50146/5000,Bimeda,,Meloxicam,,"Recocam 20mg/ml Meloxicam Solution for Injection for Use in Cattle, Pigs & Horses",http://www.noahcompendium.co.uk/?id=-447289&aggregatexml=true&absoluteurls=true,N447289,false,985.0
6849c3f4-a81a-41dd-9701-e046f4e28215,2020-05-14 15:42:08.474570,2023-02-26 00:00:16.128417,,Advocin 180,Vm 42058/4000,Zoetis UK Limited,,Danofloxacin Mesylate,Subcutaneous,Advocin® 180,http://www.noahcompendium.co.uk/?id=-456420&aggregatexml=true&absoluteurls=true,N456420,false,303.0
4b89cde3-dde4-48c6-932b-84e0d6fd24a8,2020-05-14 15:42:15.804060,2020-07-05 00:01:52.357564,,Butox Swish,Vm 01708/4495,MSD Animal Health,,Deltamethrin,,Butox™ Swish Pour-on suspension 0.75 % w/v,http://www.noahcompendium.co.uk/?id=-454379&aggregatexml=true&absoluteurls=true,N454379,false,1091.0
5c410880-43d8-4274-bb80-9b9040ce9a25,2020-05-14 15:42:15.186767,2023-02-26 00:00:18.309567,,Bovaclox DC Xtra,Vm 02000/4111,Norbrook Laboratories Ltd,,Ampicillin,,Bovaclox DC Xtra Intramammary Suspension,http://www.noahcompendium.co.uk/?id=-470405&aggregatexml=true&absoluteurls=true,N470405,false,43.0
cbd6c585-b13e-466c-a419-8729955a5d49,2020-05-14 15:42:17.999593,2023-02-26 00:00:20.414540,,CLiKZiN 12.5 mg/ml Pour-On,No MAN,Elanco UK AH Limited,,Dicyclanil,,CLiKZiN 12.5 mg/ml Pour-On Suspension for Sheep,http://www.noahcompendium.co.uk/?id=-473164&aggregatexml=true&absoluteurls=true,N473164,false,
d61a7cd3-6cb2-431f-8b14-80b73a2fd622,2020-05-14 15:42:15.240484,2023-02-26 00:00:18.351924,,Bovalto Respi 3,No MAN,Boehringer Ingelheim Animal Health UK Ltd,,Vaccine Antigens,,Bovalto Respi 3 suspension for injection for cattle,http://www.noahcompendium.co.uk/?id=-461645&aggregatexml=true&absoluteurls=true,N461645,false,
f972eb98-7b87-480c-bdd3-daf11bdc3352,2020-05-14 15:42:15.340063,2023-02-26 00:00:18.540806,,Bovela,No MAN,Boehringer Ingelheim Animal Health UK Ltd,,Vaccine Antigens,Intramuscular,Bovela lyophilisate and solvent for suspension for injection for cattle,http://www.noahcompendium.co.uk/?id=-447461&aggregatexml=true&absoluteurls=true,N447461,false,594.0
67e0473c-51f8-4099-84c5-f5f31c728f19,2020-05-14 15:42:15.213432,2022-09-25 00:00:45.103886,,Bovalto Pastobov,Vm 08327/4173,Boehringer Ingelheim Animal Health UK Ltd,,Vaccine Antigens,,Bovalto Pastobov,http://www.noahcompendium.co.uk/?id=-453876&aggregatexml=true&absoluteurls=true,N453876,false,192.0
89010b23-0847-4f85-afc6-a2dc086e8546,2020-05-14 15:42:28.008951,2020-09-13 00:01:54.593632,,Framomycin 150 mg/ml Solution for Injection,No MAN,Elanco UK AH Limited,,Framycetin Sulfate,,Framomycin 150 mg/ml Solution for Injection,http://www.noahcompendium.co.uk/?id=-472314&aggregatexml=true&absoluteurls=true,N472314,false,
10d4f75a-69a0-4ce5-913d-b7c57a84c7d5,2020-05-14 15:42:17.269134,2021-04-04 00:02:36.716696,,Ceporex™,Vm 01708/4590,MSD Animal Health,,Sodium Cefalexin,,"Ceporex™ 180 mg/ml Suspension for injection for cattle, cats and dogs",http://www.noahcompendium.co.uk/?id=-454404&aggregatexml=true&absoluteurls=true,N454404,false,177.0
3ad9b942-ae83-4176-8f64-3521eabc7836,2020-05-14 15:42:17.770419,2023-02-26 00:00:20.072929,,CIDR 1.38 g,Vm 42058/4012,Zoetis UK Limited,,Progesterone,,CIDR® 1.38 g Vaginal Delivery System for Cattle,http://www.noahcompendium.co.uk/?id=-456626&aggregatexml=true&absoluteurls=true,N456626,false,367.0
897f3471-bd47-4c29-abf2-dea399956432,2020-05-14 15:42:16.584534,2021-04-11 00:02:05.694291,,"Ceffect LC, 75mg, Intramammary Ointment for Lactating Cows",Vm34534/4006,Elanco UK AH Limited,,Cefquinome,,"Ceffect® LC, 75mg, Intramammary Ointment for Lactating Cows",http://www.noahcompendium.co.uk/?id=-446484&aggregatexml=true&absoluteurls=true,N446484,false,578.0
e5a5631d-ac25-478a-97c2-85a55c68bd86,2020-05-14 15:42:17.599553,2023-02-26 00:00:19.886919,,Chanaverm 7.5% Oral Solution,Vm 11990/4002.,Chanelle Pharma,,Levamisole Hydrochloride,Oral,Chanaverm 7.5% Oral Solution,http://www.noahcompendium.co.uk/?id=-449067&aggregatexml=true&absoluteurls=true,N449067,true,32.0
6a376505-3f26-412a-a9b9-957a5d7fd382,2020-05-14 15:42:17.882969,2023-02-26 00:00:20.274411,,Clamoxyl RTU,Vm 42058/4016,Zoetis UK Limited,,Amoxicillin Trihydrate,Intramuscular,Clamoxyl® RTU,http://www.noahcompendium.co.uk/?id=-456662&aggregatexml=true&absoluteurls=true,N456662,false,174.0
1630032e-e38d-4f09-95af-7dab4e68aaad,2020-05-14 15:42:36.534857,2020-09-13 00:02:16.571303,,PG 600,Vm 01708/4312.,MSD Animal Health,,,,PG 600™ Powder and solvent for solution for injection,http://www.noahcompendium.co.uk/?id=-455849&aggregatexml=true&absoluteurls=true,N455849,false,
01b643cb-8cf1-4f35-b2b4-d58608089ceb,2020-05-14 15:42:18.301531,2023-02-26 00:00:20.993229,,Combiclav Injection,Vm 02000/4238,Norbrook Laboratories Ltd,,Amoxicillin,,Combiclav Suspension for Injection,http://www.noahcompendium.co.uk/?id=-470643&aggregatexml=true&absoluteurls=true,N470643,false,321.0
92877074-f18b-4baf-bdf5-a34f90c9f43a,2020-05-14 15:42:18.331625,2023-02-26 00:00:21.062003,,Combinex Cattle Oral Suspension,No MAN,Elanco UK AH Limited,,Levamisole Hydrochloride,,Combinex Cattle Oral Suspension,http://www.noahcompendium.co.uk/?id=-473259&aggregatexml=true&absoluteurls=true,N473259,false,
b51551fa-0f86-4192-bda6-6fd96e43690f,2020-05-14 15:42:18.668426,2023-02-26 00:00:21.441698,,Cyclix 250 microgram/ml solution for injection,Vm 05653/4157,Virbac Limited,,Cloprostenol Sodium,Intramuscular,Cyclix 250 microgram/ml solution for injection,http://www.noahcompendium.co.uk/?id=-460172&aggregatexml=true&absoluteurls=true,N460172,false,355.0
7a611c46-3c50-4e39-956b-330791199acf,2020-05-14 15:42:18.636576,2022-10-30 00:00:37.202776,,Curacef Duo injection for cattle,No MAN,Virbac Limited,,Ceftiofur,,Curacef Duo injection for cattle,http://www.noahcompendium.co.uk/?id=-463337&aggregatexml=true&absoluteurls=true,N463337,true,
