id,report_id,businesstype_id
326,194,11
329,197,11
263,145,1
264,146,1
265,147,1
266,148,1
267,149,1
268,150,1
269,151,1
270,152,1
271,153,1
272,154,1
273,155,1
274,156,1
275,157,1
276,158,1
277,159,1
278,160,1
279,161,1
280,162,1
317,186,1
318,187,9
283,165,1
284,166,1
285,167,1
286,168,1
287,161,3
288,161,4
289,166,3
290,166,4
291,162,3
292,162,4
293,148,10
294,153,3
295,157,3
296,169,1
319,188,9
298,151,3
299,171,1
300,171,3
301,172,1
302,173,1
303,174,1
304,163,9
305,164,9
306,175,8
307,176,1
320,189,9
309,178,9
310,179,9
311,180,9
312,181,9
313,182,1
314,183,1
315,184,1
321,190,9
322,191,9
323,192,4
