Unique Ref,Tranche,Level 1,Level 2,Level 3,Level 4,Complex Type,Attribute,Description,Mandatory ?,Data Type,Accepted Values,Validation,Drop-Down/Metaval
1,CLIENT,Configuration,n/a,n/a,n/a,configuration,dataImportOperatorName,This is the logon name for the data import operator configured in Strata,Mandatory,string,Reference Data: operator.loginName,Must be Strata Operator ID. ‘-11’,
2,CLIENT,Configuration,n/a,n/a,n/a,configuration,requestUUID,The is a unique identifier for the XML message,Optional,string (8),,,
3,CLIENT,Configuration,n/a,n/a,n/a,configuration,noUpdateMode,Setting to true will mean the XML message will not get persisted to the database. Used for testing purposes,Optional,boolean,,,
4,CLIENT,Configuration,n/a,n/a,n/a,configuration,overrideStrataReferences,Setting to true will mean the classicOffsetRef (see client) will be set as the Strata PartyID and the classiPolicyReference will be used as the Strata Policy Reference,Optional,integer,,,
5,CLIENT,Configuration,n/a,n/a,n/a,configuration,useDvlaLookup,Specifies whether the DVLA service will be called when importing vehicle details to refresh the data for that vehicle,Optional,boolean,,,
6,CLIENT,Configuration,n/a,n/a,n/a,configuration,verifyDeleteMode,Setting to true will cause the data import routines to attempt to delete the xml after the import. The delete will not actually be executed but it will log if the delete would be possible ,Optional,boolean,,,
7,CLIENT,Configuration,n/a,n/a,n/a,configuration,ediMode,Enables a EDI message to be created for flagged policies,Optional,boolean,,,
8,CLIENT,Client,n/a,n/a,n/a,client,affinityCode,The Affinity group that the Client belongs to ,Optional,string (255),Reference Data: affinity.code,,
9,CLIENT,Client,n/a,n/a,n/a,client,branch,The branch that this client is linked to,Mandatory,string (15),Reference Data: branch.code,,
10,CLIENT,Client,n/a,n/a,n/a,client,category,A user defined classification for a particular client. MSG - No use has been identified for this,Optional,string,Reference Data: userDefinedData.code,,
11,CLIENT,Client,n/a,n/a,n/a,client,classicOffsetRef,The originating system’s Client ID combined with any integer value to increment it by. If configuration.overrideStrataReferences = true this will be set as the client Id in Strata,Optional,string (20),,,
12,CLIENT,Client,n/a,n/a,n/a,client,clientExec,The Operator responsible for this client,Optional,string (150),Reference Data: operator.loginName,,
13,CLIENT,Client,n/a,n/a,n/a,client,earliestInceptionDate,The start date of the first policy ever held by the client. MSG - This is the date the policy first held with Co-op,Optional,dateTime,,,
14,CLIENT,Client,n/a,n/a,n/a,client,fcaClientClassification,Whether the customer is classed as retail or commercial,Optional,string (10),Reference Data: userDefinedData.code,,
15,CLIENT,Client,n/a,n/a,n/a,client,nameLine,The clients Title first initial and Surname,Mandatory,string (152),,,
