SchemaName,TableName,Column Name,Data type,Max Length,precision,scale,is_nullable
Aggregator,Aggregator,agg_code,varchar,20,0,0,0
Aggregator,Aggregator,description,varchar,50,0,0,1
Aggregator,Aggregator,id,int,4,10,0,0
Aggregator,coinsurance_override,affinity,varchar,3,0,0,0
Aggregator,coinsurance_override,aggregator_id,int,4,10,0,0
Aggregator,coinsurance_override,force_coinsurance,bit,1,1,0,0
Aggregator,cover_configuration_override,affinity,char,3,0,0,0
Aggregator,cover_configuration_override,aggregator_id,int,4,10,0,0
Aggregator,cover_configuration_override,cover_id,int,4,10,0,0
Aggregator,cover_configuration_override,excess,decimal,9,15,5,1
Aggregator,cover_configuration_override,id,int,4,10,0,0
Audit,lead,DeletedDateTimeStamp,datetime,8,23,3,1
Audit,lead,Id,int,4,10,0,0
Audit,lead,LastUpdateDateTimeStamp,datetime,8,23,3,1
dbo,aggregator,address1,varchar,32,0,0,1
dbo,aggregator,address2,varchar,32,0,0,1
dbo,aggregator,address3,varchar,32,0,0,1
dbo,aggregator,address4,varchar,32,0,0,1
dbo,aggregator,affinity,varchar,3,0,0,0
dbo,aggregator,all_pet_names,varchar,1000,0,0,1
dbo,aggregator,client_ip_address,varchar,20,0,0,1
dbo,aggregator,contact_num_day,varchar,32,0,0,1
dbo,aggregator,contact_num_eve,varchar,32,0,0,1
dbo,aggregator,create_timestamp,smalldatetime,4,16,0,0
dbo,aggregator,date_of_birth,date,3,10,0,1
dbo,aggregator,email,varchar,64,0,0,1
dbo,aggregator,forename,varchar,32,0,0,1
dbo,aggregator,house,varchar,50,0,0,1
dbo,aggregator,id,int,4,10,0,0
dbo,aggregator,lead_id,int,4,10,0,1
dbo,aggregator,opt_out_marketing,varchar,1,0,0,1
dbo,aggregator,policy_start_date,date,3,10,0,1
dbo,aggregator,postcode,varchar,16,0,0,0
dbo,aggregator,promo_code,varchar,10,0,0,1
dbo,aggregator,quote_id,int,4,10,0,1
dbo,aggregator,quote_ref,varchar,16,0,0,1
dbo,aggregator,remote_reference,nvarchar,100,0,0,1
dbo,aggregator,source,varchar,64,0,0,0
dbo,aggregator,status_id,int,4,10,0,1
dbo,aggregator,suffix_id,int,4,10,0,1
dbo,aggregator,surname,varchar,32,0,0,1
dbo,aggregator,title,varchar,32,0,0,1
dbo,aggregator,update_timestamp,smalldatetime,4,16,0,0
dbo,aggregator_archive,address1,varchar,32,0,0,1
dbo,aggregator_archive,address2,varchar,32,0,0,1
dbo,aggregator_archive,address3,varchar,32,0,0,1
dbo,aggregator_archive,address4,varchar,32,0,0,1
dbo,aggregator_archive,affinity,varchar,3,0,0,0
dbo,aggregator_archive,all_pet_names,varchar,1000,0,0,1
dbo,aggregator_archive,client_ip_address,varchar,20,0,0,1
dbo,aggregator_archive,contact_num_day,varchar,32,0,0,1
dbo,aggregator_archive,contact_num_eve,varchar,32,0,0,1
dbo,aggregator_archive,create_timestamp,smalldatetime,4,16,0,0
dbo,aggregator_archive,date_of_birth,date,3,10,0,1
dbo,aggregator_archive,email,varchar,64,0,0,1
dbo,aggregator_archive,forename,varchar,32,0,0,1
dbo,aggregator_archive,house,varchar,50,0,0,1
dbo,aggregator_archive,id,int,4,10,0,0
dbo,aggregator_archive,lead_id,int,4,10,0,1
dbo,aggregator_archive,opt_out_marketing,varchar,1,0,0,1
dbo,aggregator_archive,policy_start_date,date,3,10,0,1
dbo,aggregator_archive,postcode,varchar,16,0,0,0
dbo,aggregator_archive,promo_code,varchar,10,0,0,1
dbo,aggregator_archive,quote_id,int,4,10,0,1
dbo,aggregator_archive,quote_ref,varchar,16,0,0,1
dbo,aggregator_archive,remote_reference,nvarchar,100,0,0,1
dbo,aggregator_archive,source,varchar,64,0,0,0
dbo,aggregator_archive,status_id,int,4,10,0,1
dbo,aggregator_archive,suffix_id,int,4,10,0,1
dbo,aggregator_archive,surname,varchar,32,0,0,1
dbo,aggregator_archive,title,varchar,32,0,0,1
dbo,aggregator_archive,update_timestamp,smalldatetime,4,16,0,0
dbo,aggregator_detail,description,varchar,50,0,0,0
dbo,aggregator_detail,id,int,4,10,0,0
dbo,aggregator_detail,referrer_code,varchar,20,0,0,0
dbo,aggregator_detail,sales_channel,int,4,10,0,0
dbo,aggregator_pet,aggregator_id,int,4,10,0,0
dbo,aggregator_pet,animal_type,char,1,0,0,1
dbo,aggregator_pet,breed_id,int,4,10,0,1
dbo,aggregator_pet,colour,varchar,50,0,0,1
dbo,aggregator_pet,create_timestamp,smalldatetime,4,16,0,0
dbo,aggregator_pet,dominantbreed_id,int,4,10,0,1
dbo,aggregator_pet,id,int,4,10,0,0
dbo,aggregator_pet,kept_at_home,bit,1,1,0,1
dbo,aggregator_pet,microchip,varchar,32,0,0,1
dbo,aggregator_pet,neutered,bit,1,1,0,1
dbo,aggregator_pet,not_breeding,bit,1,1,0,1
dbo,aggregator_pet,not_hunting,bit,1,1,0,1
dbo,aggregator_pet,not_racing,bit,1,1,0,1
dbo,aggregator_pet,not_working,bit,1,1,0,1
dbo,aggregator_pet,original_breed_id,int,4,10,0,1
dbo,aggregator_pet,owned,bit,1,1,0,1
dbo,aggregator_pet,pet_DOB,date,3,10,0,1
dbo,aggregator_pet,pet_name,varchar,64,0,0,1
dbo,aggregator_pet,pet_number,bigint,8,19,0,1
dbo,aggregator_pet,pricing_engine_id,bigint,8,19,0,1
dbo,aggregator_pet,purchase_price,money,8,19,4,1
dbo,aggregator_pet,sex,char,1,0,0,1
dbo,aggregator_pet,sick,bit,1,1,0,1
dbo,aggregator_pet,update_timestamp,smalldatetime,4,16,0,0
dbo,aggregator_pet,vetvisit,bit,1,1,0,1
dbo,aggregator_pet,vol_excess,money,8,19,4,1
dbo,aggregator_pet_archive,aggregator_id,int,4,10,0,0
