SchemaName,TableName,Column Name,Data type,Max Length,precision,scale,is_nullable
Callbacks,AffinityCallbackTime,AffinityCode,varchar,50,0,0,0
Callbacks,AffinityCallbackTime,CallbackTimeId,tinyint,1,3,0,0
Callbacks,AffinityCallbackTime,Description,varchar,255,0,0,0
Callbacks,AffinityCallbackTime,ValidFrom,datetime,8,23,3,0
Callbacks,AffinityCallbackTime,ValidTo,datetime,8,23,3,1
comms,AffinityEmail,ActiveDate,date,3,10,0,0
comms,AffinityEmail,AffinityCode,varchar,50,0,0,0
comms,AffinityEmail,AffinityFromEmailAddressID,int,4,10,0,0
comms,AffinityEmail,EmailTypeID,int,4,10,0,0
comms,AffinityEmail,ID,int,4,10,0,0
comms,AffinityEmail,InactiveDate,date,3,10,0,1
comms,AffinityEmail,isHidden,bit,1,1,0,0
comms,AffinityEmail,LayoutID,int,4,10,0,0
comms,AffinityEmail,SubjectText,varchar,250,0,0,0
comms,AffinityEmailAttachmentType,AffinityEmailID,int,4,10,0,0
comms,AffinityEmailAttachmentType,AttachmentTypeID,int,4,10,0,0
comms,AffinityEmailAttachmentType,ID,int,4,10,0,0
comms,AffinityEmailContent,ActiveDate,date,3,10,0,0
comms,AffinityEmailContent,AffinityEmailID,int,4,10,0,0
comms,AffinityEmailContent,ContentID,int,4,10,0,0
comms,AffinityEmailContent,ID,int,4,10,0,0
comms,AffinityEmailContent,InactiveDate,date,3,10,0,1
comms,AffinityEmailContent,isEditable,bit,1,1,0,0
comms,AffinityFromEmailAddress,AffinityCode,varchar,50,0,0,0
comms,AffinityFromEmailAddress,FromAddress,varchar,250,0,0,0
comms,AffinityFromEmailAddress,ID,int,4,10,0,0
comms,AttachmentType,Alias,varchar,30,0,0,1
comms,AttachmentType,Description,varchar,250,0,0,0
comms,AttachmentType,ID,int,4,10,0,0
comms,AttachmentType,ReportLookupId,int,4,10,0,1
comms,Content,ID,int,4,10,0,0
comms,Content,Ordinal,int,4,10,0,0
comms,Content,TagName,varchar,100,0,0,0
comms,Content,Text,varchar,-1,0,0,0
comms,EmailType,Description,varchar,250,0,0,0
comms,EmailType,EntityTypeID,int,4,10,0,0
comms,EmailType,ID,int,4,10,0,0
comms,EmailType,ToAddressTypeID,int,4,10,0,0
comms,Footer,ActiveDate,date,3,10,0,0
comms,Footer,FooterTypeID,int,4,10,0,0
comms,Footer,ID,int,4,10,0,0
comms,Footer,InactiveDate,date,3,10,0,1
comms,Footer,Text,varchar,-1,0,0,0
comms,FooterType,ID,int,4,10,0,0
comms,FooterType,TagName,varchar,100,0,0,0
comms,Layout,Description,varchar,250,0,0,1
comms,Layout,ID,int,4,10,0,0
comms,Layout,Text,varchar,-1,0,0,0
Contact,CrossSalePreference,Asked,bit,1,1,0,0
Contact,CrossSalePreference,Created,datetime,8,23,3,0
Contact,CrossSalePreference,ID,int,4,10,0,0
Contact,CrossSalePreference,IsRenewalDateProvided,bit,1,1,0,0
Contact,CrossSalePreference,PolicyId,int,4,10,0,0
Contact,CrossSalePreference,RenewalDate,date,3,10,0,1
Contact,CrossSalePreference,Type,varchar,50,0,0,0
Contact,CrossSalePreference,Username,varchar,50,0,0,0
Contact,Preference,Channel,varchar,50,0,0,0
Contact,Preference,Created,datetime,8,23,3,0
Contact,Preference,Domain,varchar,50,0,0,1
Contact,Preference,Enabled,bit,1,1,0,0
Contact,Preference,Identifier,int,4,10,0,0
Contact,Preference,Method,varchar,20,0,0,0
Contact,Preference,Ordinal,int,4,10,0,0
Contact,Preference,Purpose,varchar,20,0,0,0
Contact,Preference,Source,varchar,20,0,0,0
Contact,Preference,Username,varchar,50,0,0,1
CustomerPreferences,ContactPreferences,Created,datetime,8,23,3,0
CustomerPreferences,ContactPreferences,Id,int,4,10,0,0
CustomerPreferences,ContactPreferences,Source,varchar,255,0,0,0
CustomerPreferences,ContactPreferences,SourceIdentifier,nvarchar,510,0,0,0
CustomerPreferences,ContactPreferences,Type,varchar,255,0,0,0
CustomerPreferences,ContactPreferences,Value,nvarchar,510,0,0,0
CustomerPreferences,ContactTypes,Description,varchar,255,0,0,0
CustomerPreferences,ContactTypes,Id,varchar,255,0,0,0
CustomerPreferences,Sources,Description,varchar,255,0,0,0
CustomerPreferences,Sources,Id,varchar,255,0,0,0
dbo,360ServicesAPIAuthTokens,AppName,varchar,255,0,0,0
dbo,360ServicesAPIAuthTokens,ClientName,varchar,255,0,0,0
dbo,360ServicesAPIAuthTokens,GUID,varchar,100,0,0,0
dbo,360ServicesAPIAuthTokens,IsActive,bit,1,1,0,0
dbo,addacs_import,effective_date,date,3,10,0,1
dbo,addacs_import,error_message,varchar,200,0,0,1
dbo,addacs_import,payer_account_number,varbinary,256,0,0,0
dbo,addacs_import,payer_name,varbinary,256,0,0,0
dbo,addacs_import,payer_new_account_number,varbinary,256,0,0,1
dbo,addacs_import,payer_new_name,varbinary,256,0,0,1
dbo,addacs_import,payer_new_sort_code,varbinary,256,0,0,1
dbo,addacs_import,payer_sort_code,varbinary,256,0,0,0
dbo,addacs_import,policy_id,int,4,10,0,0
dbo,addacs_import,reason_code,char,1,0,0,0
dbo,addacs_import,reason_description,varchar,100,0,0,1
dbo,addacs_import,reviewed,bit,1,1,0,0
dbo,addacs_import,valid_policy_id,bit,1,1,0,1
dbo,addacs_import_temporary,effective_date,smalldatetime,4,16,0,0
dbo,addacs_import_temporary,error_message,varchar,200,0,0,1
dbo,addacs_import_temporary,has_error,bit,1,1,0,0
dbo,addacs_import_temporary,payer_account_number,varbinary,256,0,0,0
dbo,addacs_import_temporary,payer_name,varbinary,256,0,0,0
dbo,addacs_import_temporary,payer_new_account_number,varbinary,256,0,0,1
dbo,addacs_import_temporary,payer_new_name,varbinary,256,0,0,1
dbo,addacs_import_temporary,payer_new_sort_code,varbinary,256,0,0,1
dbo,addacs_import_temporary,payer_sort_code,varbinary,256,0,0,0
dbo,addacs_import_temporary,policy_id,int,4,10,0,0
dbo,addacs_import_temporary,reason_code,char,1,0,0,0
dbo,addacs_import_temporary,reason_description,varchar,100,0,0,1
dbo,addacs_import_temporary,valid_policy_id,bit,1,1,0,0
dbo,address_type,description,varchar,64,0,0,1
dbo,address_type,id,int,4,10,0,0
dbo,admin_charge_payments,admin_charge_id,int,4,10,0,0
dbo,admin_charge_payments,amount,decimal,9,10,2,0
dbo,admin_charge_payments,id,int,4,10,0,0
dbo,admin_charge_payments,payment_id,int,4,10,0,0
dbo,admin_charge_unallocated,charge_id,int,4,10,0,0
dbo,admin_charge_unallocated,type,varchar,30,0,0,1
dbo,AFFINITY,active,bit,1,1,0,1
dbo,AFFINITY,aff_ref,varchar,32,0,0,1
dbo,AFFINITY,AffinityCode,varchar,50,0,0,0
dbo,AFFINITY,AffinityOwnerId,int,4,10,0,1
dbo,AFFINITY,AffinityProductName,varchar,256,0,0,1
dbo,AFFINITY,ChequePayee,varchar,50,0,0,1
dbo,AFFINITY,claim_form,varchar,32,0,0,1
dbo,AFFINITY,claim_form_print,bit,1,1,0,1
dbo,AFFINITY,ContactNumber,varchar,50,0,0,1
dbo,AFFINITY,county,varchar,128,0,0,1
dbo,AFFINITY,currency_character,nvarchar,10,0,0,1
dbo,AFFINITY,CustomerServicesNumber,varchar,50,0,0,1
dbo,AFFINITY,Description,varchar,50,0,0,1
dbo,AFFINITY,exclude_conditions,tinyint,1,3,0,1
dbo,AFFINITY,MMPHomePageLink,varchar,500,0,0,1
dbo,AFFINITY,petname_significant,bit,1,1,0,1
dbo,AFFINITY,policy_type_id,int,4,10,0,1
dbo,AFFINITY,postcode,varchar,16,0,0,1
dbo,AFFINITY,street,varchar,128,0,0,1
dbo,AFFINITY,street_2,varchar,128,0,0,1
dbo,AFFINITY,street_3,varchar,128,0,0,1
dbo,AFFINITY,town,varchar,128,0,0,1
dbo,AFFINITY,tpl_claim_form,varchar,32,0,0,1
dbo,AFFINITY,underwriter,varchar,3,0,0,1
dbo,AFFINITY,waiting_period,smallint,2,5,0,0
dbo,AFFINITY,wl_claim_form,varchar,32,0,0,1
dbo,AFFINITY,xml_extent,text,16,0,0,1
dbo,affinity_benefit_detail,affinity_document_id,int,4,10,0,0
dbo,affinity_benefit_detail,benefit_type_id,bigint,8,19,0,0
dbo,affinity_benefit_detail,id,bigint,8,19,0,0
dbo,affinity_benefit_detail,maximum_benefit_amount,money,8,19,4,1
dbo,affinity_benefit_detail,parent_id,bigint,8,19,0,1
dbo,AFFINITY_CONFIG_TYPE,ID,int,4,10,0,0
dbo,AFFINITY_CONFIG_TYPE,Type,nvarchar,100,0,0,0
dbo,AFFINITY_CONFIGURATION,AffinityCode,varchar,50,0,0,0
dbo,AFFINITY_CONFIGURATION,ConfigTypeId,int,4,10,0,1
dbo,AFFINITY_CONFIGURATION,EffectiveDate,datetime,8,23,3,0
dbo,AFFINITY_CONFIGURATION,ID,int,4,10,0,0
dbo,AFFINITY_CONFIGURATION,Value,nvarchar,-1,0,0,0
dbo,affinity_dd,affinity_code,varchar,3,0,0,0
dbo,affinity_dd,dd_form,image,16,0,0,1
dbo,affinity_dd,dd_guarantee,image,16,0,0,1
dbo,affinity_dd,id,int,4,10,0,0
dbo,affinity_dd,updated_systuser_id,int,4,10,0,1
dbo,affinity_dd,updated_timestamp,datetime,8,23,3,1
dbo,affinity_dd,valid_from_date,date,3,10,0,1
dbo,affinity_document,affinity_code,varchar,50,0,0,0
dbo,affinity_document,boarding_deductible,bit,1,1,0,1
dbo,affinity_document,document,image,16,0,0,1
dbo,affinity_document,hol_cxl_deductible,bit,1,1,0,1
dbo,affinity_document,id,int,4,10,0,0
dbo,affinity_document,important_information,image,16,0,0,1
dbo,affinity_document,key_facts,image,16,0,0,1
dbo,affinity_document,max_adv_reward,money,8,19,4,1
dbo,affinity_document,max_boarding_fees,money,8,19,4,1
dbo,affinity_document,max_death_injury,money,8,19,4,1
dbo,affinity_document,max_holiday_cnx,money,8,19,4,1
dbo,affinity_document,max_loss,money,8,19,4,1
dbo,affinity_document,max_tpl,money,8,19,4,1
dbo,affinity_document,max_transport,money,8,19,4,1
dbo,affinity_document,max_vet_fees,money,8,19,4,1
dbo,affinity_document,tpl_excess,money,8,19,4,1
dbo,affinity_document,transport_cost_applies,bit,1,1,0,1
dbo,affinity_document,updated_systuser_id,int,4,10,0,1
dbo,affinity_document,uploaded_date,smalldatetime,4,16,0,0
dbo,affinity_document,valid_from,smalldatetime,4,16,0,0
dbo,affinity_document_audit,affinity_dd_id,int,4,10,0,1
dbo,affinity_document_audit,affinity_document_id,int,4,10,0,1
dbo,affinity_document_audit,affinity_footer_id,int,4,10,0,1
dbo,affinity_document_audit,affinity_ii_id,int,4,10,0,1
dbo,affinity_document_audit,affinity_toba_id,int,4,10,0,1
dbo,affinity_document_audit,description,varchar,100,0,0,0
dbo,affinity_document_audit,document,image,16,0,0,1
dbo,affinity_document_audit,document_text,varchar,-1,0,0,1
dbo,affinity_document_audit,document_text2,varchar,-1,0,0,1
dbo,affinity_document_audit,id,int,4,10,0,0
dbo,affinity_document_audit,updated_datetimestamp,datetime,8,23,3,0
dbo,affinity_document_audit,updated_systuser_id,int,4,10,0,1
dbo,affinity_document_excess,affinity_document_id,int,4,10,0,0
dbo,affinity_document_excess,cont_claim_reapply,bit,1,1,0,1
dbo,affinity_document_excess,default,bit,1,1,0,1
dbo,affinity_document_excess,exclude_vol_xs,bit,1,1,0,1
dbo,affinity_document_excess,id,int,4,10,0,0
dbo,affinity_document_excess,min_excess_amt,money,8,19,4,0
dbo,affinity_document_excess,pct_excess,float,8,53,0,0
dbo,affinity_document_excess,schge_amt,money,8,19,4,0
dbo,affinity_document_excess,updated_systuser_id,int,4,10,0,1
dbo,affinity_document_excess,updated_timestamp,smalldatetime,4,16,0,1
dbo,affinity_document_excess_rule,affinity_document_XS_id,int,4,10,0,0
dbo,affinity_document_excess_rule,cont_claim_reapply,bit,1,1,0,1
dbo,affinity_document_excess_rule,exclude_vol_xs,bit,1,1,0,1
dbo,affinity_document_excess_rule,id,int,4,10,0,0
dbo,affinity_document_excess_rule,min_excess_amt,money,8,19,4,0
dbo,affinity_document_excess_rule,pct_copayment,float,8,53,0,1
dbo,affinity_document_excess_rule,pct_excess,float,8,53,0,0
dbo,affinity_document_excess_rule,pet_sex,char,1,0,0,1
dbo,affinity_document_excess_rule,pet_type,char,1,0,0,1
dbo,affinity_document_excess_rule,rule_condition,varchar,2,0,0,1
dbo,affinity_document_excess_rule,rule_description,varchar,255,0,0,1
dbo,affinity_document_excess_rule,rule_field,varchar,32,0,0,1
dbo,affinity_document_excess_rule,rule_value,varchar,16,0,0,1
dbo,affinity_document_excess_rule,schge_amt,money,8,19,4,0
dbo,affinity_document_rule,affinity_document_id,int,4,10,0,0
dbo,affinity_document_rule,id,int,4,10,0,0
dbo,affinity_document_rule,pet_sex,char,1,0,0,1
dbo,affinity_document_rule,pet_type,char,1,0,0,1
dbo,affinity_document_rule,renewal_sig,bit,1,1,0,0
dbo,affinity_document_rule,rule_condition,varchar,2,0,0,1
dbo,affinity_document_rule,rule_description,varchar,255,0,0,1
dbo,affinity_document_rule,rule_field,varchar,32,0,0,1
dbo,affinity_document_rule,rule_value,varchar,16,0,0,1
dbo,affinity_footer,affinity_code,varchar,3,0,0,0
dbo,affinity_footer,dual_footer,varchar,-1,0,0,1
dbo,affinity_footer,footer,varchar,-1,0,0,1
dbo,affinity_footer,footer_colour,varchar,15,0,0,1
dbo,affinity_footer,id,int,4,10,0,0
dbo,affinity_footer,updated_systuser_id,int,4,10,0,1
dbo,affinity_footer,updated_timestamp,datetime,8,23,3,1
dbo,affinity_footer,valid_from_date,smalldatetime,4,16,0,0
dbo,affinity_ii,affinity_code,varchar,50,0,0,0
dbo,affinity_ii,id,int,4,10,0,0
dbo,affinity_ii,important_information,image,16,0,0,1
dbo,affinity_ii,updated_systuser_id,int,4,10,0,1
dbo,affinity_ii,updated_timestamp,datetime,8,23,3,1
dbo,affinity_ii,valid_from_date,date,3,10,0,1
dbo,affinity_ii,valid_to_date,date,3,10,0,1
dbo,affinity_ii_override,Id,int,4,10,0,0
dbo,affinity_ii_override,NewAffinityIIId,int,4,10,0,0
dbo,affinity_ii_override,OldAffinityIIId,int,4,10,0,0
dbo,affinity_ii_override,SchemeCode,varchar,50,0,0,0
dbo,affinity_owner,county,varchar,128,0,0,1
dbo,affinity_owner,description,varchar,256,0,0,1
dbo,affinity_owner,id,int,4,10,0,0
dbo,affinity_owner,postcode,varchar,16,0,0,1
dbo,affinity_owner,street,varchar,128,0,0,1
dbo,affinity_owner,street_2,varchar,128,0,0,1
dbo,affinity_owner,street_3,varchar,128,0,0,1
dbo,affinity_owner,town,varchar,128,0,0,1
dbo,affinity_product,affinity_code,varchar,50,0,0,1
dbo,affinity_product,effective_date,date,3,10,0,1
dbo,affinity_product,further_info,varchar,128,0,0,1
dbo,affinity_product,product_name,varchar,50,0,0,1
dbo,affinity_schedule,affinity_code,varchar,50,0,0,0
dbo,affinity_schedule,benefit_limit_title,varchar,200,0,0,1
dbo,affinity_schedule,excess_wording,text,16,0,0,1
dbo,affinity_schedule,has_co_payment,bit,1,1,0,1
dbo,affinity_schedule,id,int,4,10,0,0
dbo,affinity_schedule,policy_type_description,varchar,-1,0,0,1
dbo,affinity_schedule,valid_from,date,3,10,0,1
dbo,affinity_telephone_number,affinity_code,varchar,50,0,0,0
dbo,affinity_telephone_number,aggregator_code,varchar,10,0,0,1
dbo,affinity_telephone_number,id,int,4,10,0,0
dbo,affinity_telephone_number,telephone_number,varchar,50,0,0,1
dbo,affinity_telephone_number,telephone_type_id,int,4,10,0,0
dbo,affinity_toba,admin_fee_cancellation,money,8,19,4,1
dbo,affinity_toba,admin_fee_cancellation_cooling,bit,1,1,0,1
dbo,affinity_toba,admin_fee_standard,money,8,19,4,1
dbo,affinity_toba,affinity_code,varchar,3,0,0,0
dbo,affinity_toba,annual_prem_cancel_w_claims_disable,bit,1,1,0,0
dbo,affinity_toba,id,int,4,10,0,0
dbo,affinity_toba,toba,image,16,0,0,1
dbo,affinity_toba,updated_systuser_id,int,4,10,0,1
dbo,affinity_toba,updated_timestamp,datetime,8,23,3,1
dbo,affinity_toba,valid_from_date,date,3,10,0,0
dbo,AffinityCommunicationSystem,AffinityCode,varchar,50,0,0,0
dbo,AffinityCommunicationSystem,CommunicationAreaID,int,4,10,0,0
dbo,AffinityCommunicationSystem,CommunicationSystemTypeID,int,4,10,0,0
dbo,AffinityCommunicationSystem,Id,int,4,10,0,0
dbo,AffinityDocumentExcessBenefitType,AffinityDocumentExcessId,int,4,10,0,0
dbo,AffinityDocumentExcessBenefitType,BenefitTypeId,bigint,8,19,0,0
dbo,AffinityDocumentExcessBenefitType,Id,bigint,8,19,0,0
dbo,AffinityDocumentExcessBenefitType,UsePetAgetAtRenewal,bit,1,1,0,0
dbo,AffinityLiveChat,affinityCode,varchar,3,0,0,0
dbo,AffinityLiveChat,id,int,4,10,0,0
dbo,AffinityLiveChat,liveChatScriptSrc,varchar,-1,0,0,0
dbo,all_letters,Add1,varchar,50,0,0,1
dbo,all_letters,Add2,varchar,50,0,0,1
dbo,all_letters,Add3,varchar,50,0,0,1
dbo,all_letters,Add4,varchar,50,0,0,1
dbo,all_letters,Add5,varchar,50,0,0,1
dbo,all_letters,Body,varchar,8000,0,0,1
dbo,all_letters,letter_desc,varchar,255,0,0,1
dbo,all_letters,Name,varchar,128,0,0,1
dbo,all_letters,PolicyData,varchar,255,0,0,1
dbo,all_letters,PolicyNum,varchar,50,0,0,1
dbo,all_letters,Postcode,varchar,50,0,0,1
dbo,ApiLog,ApplicationMessage,varchar,-1,0,0,1
dbo,ApiLog,ClientId,varchar,50,0,0,0
dbo,ApiLog,CreatedDate,smalldatetime,4,16,0,0
dbo,ApiLog,id,bigint,8,19,0,0
dbo,ApiLog,LogLevel,varchar,50,0,0,0
dbo,ApiLog,StackTrace,varchar,-1,0,0,1
dbo,ApiLog,TraceId,nvarchar,100,0,0,1
dbo,AUDIT,AuditID,int,4,10,0,0
dbo,AUDIT,ClaimID,int,4,10,0,1
dbo,AUDIT,DateTimestamp,datetime,8,23,3,1
dbo,AUDIT,Description,varchar,255,0,0,0
dbo,AUDIT,policy_id,int,4,10,0,1
dbo,AUDIT,quote_id,int,4,10,0,1
dbo,AUDIT,UserID,int,4,10,0,0
dbo,audit_log,company_id,int,4,10,0,1
dbo,audit_log,log_entry_type,int,4,10,0,0
dbo,audit_log,message,varchar,1000,0,0,0
dbo,audit_log,systuser_id,int,4,10,0,0
dbo,audit_log,time_stamp,datetime,8,23,3,0
dbo,audit_orphan,AuditID,int,4,10,0,0
dbo,audit_orphan,ClaimID,int,4,10,0,1
dbo,audit_orphan,DateTimestamp,datetime,8,23,3,1
dbo,audit_orphan,Description,varchar,255,0,0,0
dbo,audit_orphan,payment_id,int,4,10,0,1
dbo,audit_orphan,policy_id,int,4,10,0,1
dbo,audit_orphan,UserID,int,4,10,0,0
dbo,auto_renewal_exception,policy_id,int,4,10,0,0
dbo,AutomatedClaim,AutomatedClaimId,uniqueidentifier,16,0,0,0
dbo,AutomatedClaim,AutomatedClaimStatus,int,4,10,0,0
dbo,AutomatedClaim,ClaimId,int,4,10,0,1
dbo,AutomatedClaim,ClaimReceivedConfirmationSent,bit,1,1,0,0
dbo,AutomatedClaim,CreatedDate,datetime,8,23,3,0
dbo,AutomatedClaim,EmailStatus,int,4,10,0,1
dbo,AutomatedClaim,OutgoingStatus,bit,1,1,0,1
dbo,AutomatedClaim,PolicyNumber,nvarchar,64,0,0,1
dbo,AutomatedClaim,SourceXml,nvarchar,-1,0,0,1
dbo,AutomatedClaim,StatusMessage,varchar,255,0,0,1
dbo,AutomatedClaim,ThirdPartyClaimId,nvarchar,1000,0,0,1
dbo,AutomatedClaim,UpdatedDate,datetime,8,23,3,1
dbo,AutomatedClaimAttachment,AttachmentId,uniqueidentifier,16,0,0,0
dbo,AutomatedClaimAttachment,AutomatedClaimId,uniqueidentifier,16,0,0,0
dbo,AutomatedClaimAttachment,CreatedDate,datetime,8,23,3,0
dbo,AutomatedClaimAttachment,DocuwareId,int,4,10,0,1
dbo,AutomatedClaimAttachment,FileType,varchar,50,0,0,1
dbo,AutomatedClaimClinicalHistoryTemp,ClaimId,int,4,10,0,0
dbo,AutomatedClaimClinicalHistoryTemp,CreatedDate,datetime,8,23,3,0
dbo,AutomatedClaimExceptions,AutomatedClaimId,uniqueidentifier,16,0,0,0
dbo,AutomatedClaimExceptions,Created,datetime,8,23,3,0
dbo,AutomatedClaimExceptions,Detail,varchar,-1,0,0,1
dbo,AutomatedClaimExceptions,Id,int,4,10,0,0
dbo,AutomatedClaimExceptions,SourceXml,varchar,-1,0,0,0
dbo,AutomatedClaimThirdParty,AutomatedClaimId,uniqueidentifier,16,0,0,0
dbo,AutomatedClaimThirdParty,CreatedDate,datetime,8,23,3,0
dbo,AutomatedClaimThirdParty,Endpoint,nvarchar,-1,0,0,1
dbo,AutomatedClaimThirdParty,Request,nvarchar,-1,0,0,1
