Barcode,FirstSeen,TwoDBarcodeCreationDate,AccountNumber,ProdCharProductCode,ProdCharProductDescription,ProductFamily,ReasonForIncorrectFormat,IncorrectWeight,IncorrectWeightDiff,CaseUnderDeclared,CaseOverDeclared,TwoDBarcode,CaseCreationDate,CaseClosedDate,CasePriority,IncorrectClassFlag,IncorrectFormatOutOfTolerance,IncorrectProduct,IncorrectWeightOutOfTolerance,OutOfMaxWeightSpecification,OutOfMaxWeightAndOutsideTolerance,ItemNonCompliant,CaseItemIdentifier,PotentialCaseRevenue,CaseAssignedTo,ExclusionFlag,ADWGroupForItemIsNoncompliant,PrimaryPsmForWeightHasSuperiorScale,PrimaryPsmForFormatHasSuperiorScale,PSMFormatHealth,PSMWeightHealth,IncorrectFormatDueToSumOfDimsOutOfTolerance,IncorrectFormatDueToSumOfDimsWithinTolerance,DuplicateItemType,PackageType,PackageSizeFactor
6.89349E+12,2025-05-30 06:20:40.000000 UTC,2025-05-29T00:00:00,WUHD11374569792135,STL,ROYAL MAIL 1C\2C,TBC,,0,0,0,11,89552582,01/06/2025,,Extremely Low,0,0,0,0,0,0,0,CASE-6263-nANS,11.55,,,0,0,0,,,,,,box,correct
6.86569E+12,2025-05-29 06:42:25.000000 UTC,2025-05-28T00:00:00,OJCO36614476292382,PPT,RM 48 (LL) ANNUAL FLAT RATE,Core Network Parcels,,0,0,0,6,38879289,31/05/2025,,Extremely Low,0,1,0,1,1,0,1,CASE-3028-hHFx,11.4,,IW,0,1,1,,,,,,poly,correct
2.92604E+12,2025-05-30 08:09:38.000000 UTC,2025-05-28T00:00:00,OLDB05282220097105,PPT,RM 48 (LL) ANNUAL FLAT RATE,Core Network Parcels,,0,0,0,6,53718365,31/05/2025,,Medium,0,0,1,0,1,1,1,CASE-9646-usLe,11.4,,IW,0,1,1,,,,,,jiffy,Default
7.68333E+12,2025-05-28 08:33:39.000000 UTC,2025-05-27T00:00:00,SPVK36082955849799,PPT,RM 48 (LL) ANNUAL FLAT RATE,Core Network Parcels,,0,0,0,16,52767685,30/05/2025,,Low,0,0,0,1,0,0,0,CASE-6993-xCwc,119.35,,,0,1,1,,,,,,box,uneven
4.55426E+12,2025-05-30 02:08:48.000000 UTC,2025-05-29T00:00:00,RUZJ99108387959484,PPT,RM 48 (LL) ANNUAL FLAT RATE,Core Network Parcels,,0,0,0,9,02548746,01/06/2025,,High,0,0,1,0,0,0,0,CASE-2554-DnTX,19.25,,ALL,0,1,1,,,,,,poly,uneven
5.91413E+12,2025-05-31 13:08:18.000000 UTC,2025-05-30T00:00:00,WUQS40309551423114,BPL,ROYAL MAIL SIGNED FOR 1C\2C,TBC,,0,0,0,1,83332487,02/06/2025,,Higj,0,0,1,1,1,1,1,CASE-9541-PbMA,11.55,,,0,,,,,,,,jiffy,correct
2.9018E+12,2025-05-29 08:38:54.000000 UTC,2025-05-28T00:00:00,DUZS73107927275994,CRL,ROYAL MAIL 24\48,Core Network Parcels,,0,0,0,3,40982274,31/05/2025,,Extremely Low,0,0,0,0,0,0,0,CASE-2889-wvDG,15.4,,,0,1,1,,,,,,box,correct
6.53411E+12,2025-05-31 04:21:20.000000 UTC,2025-05-30T00:00:00,BNFA85931570452524,CRL,ROYAL MAIL 24\48,Core Network Parcels,,0,0,0,19,65649855,02/06/2025,,Extremely Low,0,0,1,1,1,1,1,CASE-7233-OaDY,3.85,,,0,,1,,,,,,poly,correct
6.20054E+12,2025-05-28 22:32:54.000000 UTC,2025-05-27T00:00:00,ENAA45474831114400,CRL,ROYAL MAIL 24\48,Core Network Parcels,,0,0,0,0,94491838,30/05/2025,,High,0,0,0,0,1,1,1,CASE-1872-eqoC,9.55,,,0,1,1,,,,,,jiffy,uneven
2.35255E+12,2025-05-29 08:53:58.000000 UTC,2025-05-28T00:00:00,FBFZ97699162110108,PK0,ROYAL MAIL 48 (LL) FLAT RATE,Core Network Parcels,,0,0,0,34,22055187,31/05/2025,,Medium,0,1,1,0,0,1,1,CASE-1286-bvYl,7.7,,,0,1,1,,,,,,Default,correct
3.89553E+12,2025-05-31 00:16:14.000000 UTC,2025-05-30T00:00:00,RUKA14940215200794,PK0,ROYAL MAIL 48 (LL) FLAT RATE,Core Network Parcels,,0,0,0,8,84865298,02/06/2025,,Extremely Low,0,1,0,0,0,0,1,CASE-4034-pTwY,11.55,,,0,1,1,,,,,,Default,correct
